,OCCRR_DTM,RQRMN_TM,CTPRV_NM,SGNG_NM,EMNDN_NM,OCCCRR_RI,ARA_LTNMB,CUSE_NM,DMG_AREA,ADDRESS
61,1995-04-20,20.0,서울,중랑,망우,,산3-1,묘지잡초소각,0.07,서울 중랑 망우 산3-1
62,2007-01-19,10.0,서울,성북,상월곡,,산1-62,입산자실화,0.01,서울 성북 상월곡 산1-62
63,1997-04-22,234.0,서울,성북,성북,,산25-1,입산자실화추정,0.02,서울 성북 성북 산25-1
64,1994-04-10,401.0,서울,성북,정릉,,산87-1,미상,0.01,서울 성북 정릉 산87-1
65,1994-03-21,40.0,서울,성북,정릉,,산87-1,입산자실화추정,0.13,서울 성북 정릉 산87-1
66,1993-02-09,116.0,서울,성북,정릉,,산1-1,입산자실화추정,0.4,서울 성북 정릉 산1-1
67,1984-02-07,30.0,서울,성북,정릉,,산1-1,입산자실화추정,0.04,서울 성북 정릉 산1-1
68,1997-04-21,250.0,서울,성북,정릉,,산1-1,입산자실화추정,3.0,서울 성북 정릉 산1-1
69,1997-10-25,33.0,서울,성북,정릉,,산87-1,입산자담뱃불추정,0.08,서울 성북 정릉 산87-1
70,1997-10-26,25.0,서울,성북,정릉,,산1-1,입산자실화추정,0.04,서울 성북 정릉 산1-1
71,2000-04-12,103.0,서울,성북,정릉,,산1-1,담뱃불실화추정,0.06,서울 성북 정릉 산1-1
72,2002-03-20,125.0,서울,성북,정릉,,산1-1,입산자실화추정,0.07,서울 성북 정릉 산1-1
73,2004-04-11,50.0,서울,성북,정릉,,산1-1,입산자실화,0.01,서울 성북 정릉 산1-1
74,2004-04-25,22.0,서울,성북,정릉,,산1-1,담뱃불실화추정,0.01,서울 성북 정릉 산1-1
75,2005-11-10,41.0,서울,성북,정릉,,산1-1,입산자실화,0.01,서울 성북 정릉 산1-1
76,2006-04-08,52.0,서울,성북,정릉,,산1-1,입산자실화,0.1,서울 성북 정릉 산1-1
77,2005-02-06,12.0,서울,성북,하월곡,,산2-1,폭죽놀이중실화,0.02,서울 성북 하월곡 산2-1
78,2007-03-26,14.0,서울,강북,미아,,산35-3,입산자실화,0.02,서울 강북 미아 산35-3
79,2001-11-27,21.0,서울,강북,번,,산28-6,입산자실화추정,0.01,서울 강북 번 산28-6
80,2002-03-23,24.0,서울,강북,번,,산20-1,담뱃불실화추정,0.01,서울 강북 번 산20-1
81,2002-04-28,10.0,서울,강북,번,,산28-1,어린이불장난,0.01,서울 강북 번 산28-1
82,2003-04-04,22.0,서울,강북,번2,,산20-1,입산자실화추정,0.03,서울 강북 번2 산20-1
83,2006-03-07,5.0,서울,강북,번,,산27-3,어린이불장난,0.01,서울 강북 번 산27-3
84,2008-03-08,24.0,서울,강북,번,,산28-8,방화추정,0.02,서울 강북 번 산28-8
85,1997-10-28,20.0,서울,강북,우이,,산68-1,담뱃불실화추정,0.02,서울 강북 우이 산68-1
86,1997-10-31,45.0,서울,강북,우이,,산68-1,등산객담뱃불추정,0.03,서울 강북 우이 산68-1
87,1998-11-08,50.0,서울,강북,우이,,산68-1,담뱃불실화,0.02,서울 강북 우이 산68-1
88,1999-03-28,31.0,서울,강북,우이,,산68-1,담뱃불실화추정,0.1,서울 강북 우이 산68-1
89,2000-04-04,245.0,서울,강북,우이,,산68-1,입산자실화추정,1.8,서울 강북 우이 산68-1
90,2000-04-07,102.0,서울,강북,우이,,산68-1,입산자실화추정,0.13,서울 강북 우이 산68-1
91,2002-03-04,117.0,서울,강북,우이,,산65-1,담뱃불실화추정,0.16,서울 강북 우이 산65-1
92,2002-03-19,27.0,서울,강북,우이,,산40-1,임야연접주택화재,0.03,서울 강북 우이 산40-1
93,2005-01-01,56.0,서울,강북,우이,,산68-1,무속인실화추정,0.2,서울 강북 우이 산68-1
94,2006-04-28,615.0,서울,강북,우이,,산68-1,방화추정,4.39,서울 강북 우이 산68-1
95,1996-02-21,100.0,서울,강북,수유,,산68-1,기타,1.2,서울 강북 수유 산68-1
96,1994-04-24,25.0,서울,강북,번,,산28-1,어린이불장난,0.1,서울 강북 번 산28-1
97,1984-11-02,18.0,서울,강북,번,,산19,어린이불장난추정,0.03,서울 강북 번 산19
98,2001-04-01,22.0,서울,강북,미아,,산13-1,어린이불장난추정,0.01,서울 강북 미아 산13-1
99,2003-03-12,35.0,서울,강북,미아,,산35-1,입산자실화추정,0.01,서울 강북 미아 산35-1
100,2007-02-12,15.0,서울,강북,미아,,산13-1,입산자실화,0.02,서울 강북 미아 산13-1
101,2001-03-25,15.0,서울,강북,번,,산17,어린이불장난추정,0.01,서울 강북 번 산17
102,1994-04-26,245.0,서울,강북,우이,,산68-1,무속행위추정,0.17,서울 강북 우이 산68-1
103,1993-11-11,15.0,서울,강북,우이,,산68-1,입산자실화추정,0.05,서울 강북 우이 산68-1
104,1989-01-06,250.0,서울,강북,우이,,산68-1,무속행위실화,0.17,서울 강북 우이 산68-1
105,2001-03-20,40.0,서울,강북,수유,,산127-4,담뱃불실화추정,0.03,서울 강북 수유 산127-4
106,2002-02-14,37.0,서울,강북,수유,,산127-1,담뱃불실화추정,0.01,서울 강북 수유 산127-1
107,2005-03-27,31.0,서울,강북,수유,,산127-1,입산자실화추정,0.4,서울 강북 수유 산127-1
108,2006-10-31,51.0,서울,강북,수유,,산127-1,입산자실화,0.05,서울 강북 수유 산127-1
109,2008-03-20,111.0,서울,강북,수유,,산127-1,입산자실화,0.11,서울 강북 수유 산127-1
110,2005-02-01,20.0,서울,도봉,창,,산202-1,입산자실화추정,0.03,서울 도봉 창 산202-1
111,2006-05-09,23.0,서울,도봉,창,,산194-5,방화추정,0.15,서울 도봉 창 산194-5
