id,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
0,0.01,29,11,12:44:00,2018,기타,산34,대문,진천,백곡,충북,29,목요일,11,12:14:00,2018
1,0.08,26,8,18:00:00,2019,입산자실화,산102,검산,홍천,서석,강원,26,월요일,8,12:10:00,2019
2,0.01,26,8,16:50:00,2019,기타,산120,석정,평택,포승,경기,26,월요일,8,16:22:00,2019
3,0.02,19,9,16:20:00,2019,쓰레기소각,06월 04일,녹도,보령,오천,충남,19,목요일,9,10:38:00,2019
4,0.16,30,9,18:00:00,2019,입산자실화,산267,도평,포천,이동,경기,29,일요일,9,17:42:00,2019
5,0.02,11,8,14:30:00,2019,주택화재비화,산122-1,대산,공주,정산,충남,11,일요일,8,12:00:00,2019
6,0.15,23,8,14:15:00,2019,기타,산7-1,석화,횡성,서원,강원,23,금요일,8,12:31:00,2019
7,0.01,9,10,13:20:00,2019,입산자실화,산37-48,중,덕교, ,인천,9,수요일,10,12:40:00,2019
8,0.05,11,10,13:30:00,2019,쓰레기소각,산42,상직,영덕,강구,경북,11,금요일,10,11:55:00,2019
9,0.03,12,10,14:00:00,2019,기타,883-53(임),평택,도일, ,경기,12,토요일,10,13:10:00,2019
10,0.05,13,10,17:50:00,2019,입산자실화,산1-2,화곡,서산,대산,충남,13,일요일,10,14:30:00,2019
11,0.03,15,10,21:30:00,2019,기타,산242-1,연화,옹진,백령,인천,15,화요일,10,20:14:00,2019
12,0.01,19,10,15:20:00,2019,기타,산16-1,안양,안양,만안,경기,19,토요일,10,14:40:00,2019
13,0.01,26,10,11:47:00,2019,입산자실화,산129-1,수정,창원,구산,경남,26,토요일,10,10:47:00,2019
14,0.1,27,10,15:55:00,2019,기타,산8,문덕,군위,우보,경북,27,일요일,10,14:08:00,2019
15,0.03,30,10,15:30:00,2019,기타,산30-1,월막,고령,쌍림,경북,30,수요일,10,12:58:00,2019
16,0.25,7,11,14:40:00,2019,쓰레기소각,산39-1,가평,산회, ,경기,7,목요일,11,12:33:00,2019
17,0.01,8,11,17:30:00,2019,기타,산 87,중촌,거창,가북,경남,8,금요일,11,16:11:00,2019
18,0.5,9,11,2:30:00,2019,입산자실화,산 44-3,두룡,보령,웅천,충남,8,금요일,11,20:25:00,2019
19,0.01,9,11,13:30:00,2019,입산자실화,산 13-1,대성,전주,완산,전북,9,토요일,11,12:25:00,2019
20,0.01,9,11,15:12:00,2019,입산자실화,산 8,팔야,남양주,진접,경기,9,토요일,11,14:12:00,2019
21,0.2,9,11,20:00:00,2019,기타,1344-1,옥적,여수,화양,전남,9,토요일,11,15:15:00,2019
22,0.02,9,11,18:45:00,2019,입산자실화,산 58-6,남당,홍성,서부,충남,9,토요일,11,17:09:00,2019
23,0.01,12,11,17:06:00,2019,기타,산 4,이전,함양,안의,경남,12,화요일,11,15:06:00,2019
24,0.1,12,11,17:27:00,2019,기타,산105,가송,안동,도산,경북,12,화요일,11,15:08:00,2019
25,0.01,16,11,18:10:00,2019,기타,산264,제비,강릉,구정,강원,16,토요일,11,17:00:00,2019
26,0.01,21,11,18:51:00,2019,기타,252,정자,성남,분당,경기,21,목요일,11,18:32:00,2019
27,0.01,22,11,7:30:00,2019,기타,산39-1,구계,창녕, ,경남,22,금요일,11,0:02:00,2019
28,0.15,23,11,21:30:00,2019,주택화재비화,산1,안곡,창원, ,경남,23,토요일,11,18:16:00,2019
29,0.02,24,11,20:50:00,2019,기타,산64-3,초량,동, ,부산,24,일요일,11,19:29:00,2019
30,0.09,28,11,5:00:00,2019,기타,산45,신짐,양평,용문,경기,28,목요일,11,3:52:00,2019
31,0.1,28,11,18:50:00,2019,기타,산259,엄미,광주,남한산성,경기,28,목요일,11,14:30:00,2019
32,0.01,29,11,9:51:00,2019,주택화재비화,226-103,덕은,파주, ,경기,29,금요일,11,7:51:00,2019
33,0.01,30,11,14:00:00,2019,입산자실화,산39,백여,완주,구이,전북,30,토요일,11,12:45:00,2019
34,0.05,30,11,15:40:00,2019,쓰레기소각,6,신평,안동,녹전,경북,30,토요일,11,13:43:00,2019
35,0.01,2,12,13:00:00,2019,기타,82-17,목현,광주, ,경기,2,월요일,12,11:50:00,2019
36,0.1,4,12,12:47:00,2019,논밭두렁소각,222,군량,양구,양구,강원,4,수요일,12,11:30:00,2019
37,0.1,5,12,15:00:00,2019,담뱃불실화,산129-2,점,삼척,도계,강원,5,목요일,12,10:09:00,2019
38,0.01,5,12,14:50:00,2019,주택화재비화,1309-9,달,목포, ,전남,5,목요일,12,11:37:00,2019
39,0.05,6,12,9:50:00,2019,주택화재비화,산38-1,추전,춘천,북산,강원,6,금요일,12,8:59:00,2019
40,0.02,7,12,16:10:00,2019,주택화재비화,산52,천평,칠곡,가산,경북,7,토요일,12,14:44:00,2019
41,0.11,8,12,14:40:00,2019,논밭두렁소각,산-1-,신송,서천,서천,충남,8,일요일,12,13:50:00,2019
42,0.05,11,12,18:00:00,2019,기타,산22,덕산,인제,인제,강원,11,수요일,12,16:25:00,2019
43,2,12,12,10:39:00,2019,기타,산1,나전,정선,북평,강원,11,수요일,12,19:18:00,2019
44,0.35,12,12,16:00:00,2019,주택화재비화,산77-1,상개,남, ,울산,12,목요일,12,11:36:00,2019
45,0.1,13,12,13:08:00,2019,주택화재비화,932-2,종산,김천,대덕,경북,13,금요일,12,11:50:00,2019
46,0.01,13,12,14:50:00,2019,논밭두렁소각,산104,괴정,순창,적성,전북,13,금요일,12,12:57:00,2019
47,0.01,13,12,16:30:00,2019,주택화재비화,산69,대항,밀양,부북,경남,13,금요일,12,15:06:00,2019
48,0.01,13,12,18:40:00,2019,입산자실화,산6-5,모촌,논산,양촌,충남,13,금요일,12,17:14:00,2019
49,0.01,14,12,17:50:00,2019,주택화재비화,산23-3,신기,논산,양촌,충남,14,토요일,12,16:02:00,2019
50,0.01,15,12,14:23:00,2019,주택화재비화,화제,양산,원동, ,경남,15,일요일,12,13:26:00,2019
51,0.25,16,12,15:20:00,2019,쓰레기소각,산155-1,부용의천리,청주,남이,충북,16,월요일,12,13:40:00,2019
52,0.04,20,12,13:20:00,2019,쓰레기소각,산8-10,태학,홍천,홍천,강원,20,금요일,12,11:40:00,2019
53,0.02,20,12,21:00:00,2019,입산자실화,산65-7,사율,남원,덕과,전북,20,금요일,12,18:06:00,2019
54,0.01,22,12,16:35:00,2019,기타,산24,역평,금산,남이,충남,22,일요일,12,15:23:00,2019
55,0.03,22,12,17:00:00,2019,입산자실화,산99,말용,문경,영순,경북,22,일요일,12,15:38:00,2019
56,0.5,23,12,17:30:00,2019,입산자실화,산29,파도,구례,토지,전남,23,월요일,12,13:45:00,2019
57,0.01,24,12,14:22:00,2019,기타,산74,백운,평창,미탄,강원,24,화요일,12,12:11:00,2019
58,0.05,24,12,23:00:00,2019,쓰레기소각,산42,정평,진주,집현,경남,24,화요일,12,19:56:00,2019
59,0.04,25,12,17:00:00,2019,기타,산31,학,동, ,광주,25,수요일,12,15:17:00,2019
60,1,28,12,12:00:00,2019,입산자실화,산189,등억알프스,울주,상북,울산,27,금요일,12,19:57:00,2019
61,0.33,28,12,14:00:00,2019,기타,산129,목,광주, ,경기,28,토요일,12,10:28:00,2019
62,0.01,29,12,15:30:00,2019,기타,04월 18일,탄동,포천,관인,경기,29,일요일,12,15:05:00,2019
63,0.02,31,3,18:03:00,2019,기타,산6-6,남성,포항,대송,경북,31,일요일,3,16:54:00,2019
64,0.02,31,3,20:00:00,2019,주택화재비화,산122,서곡,남원,이백,전북,31,일요일,3,18:50:00,2019
65,0.01,31,3,19:30:00,2019,쓰레기소각,2-3임,도촌,성남,중원,경기,31,일요일,3,18:55:00,2019
66,0.15,1,4,12:25:00,2019,쓰레기소각,산27-2,문산,달성,다사,대구,1,월요일,4,10:22:00,2019
67,0.06,1,4,12:30:00,2019,입산자실화,산96-1,위양,울주,서생,울산,1,월요일,4,11:44:00,2019
68,0.15,1,4,15:30:00,2019,입산자실화,산176-1,용곡,장성,장성,전남,1,월요일,4,12:28:00,2019
69,7,2,4,10:00:00,2019,기타,산18-1,유평,순천,승주,전남,1,월요일,4,16:10:00,2019
70,0.02,1,4,20:15:00,2019,쓰레기소각,산43,길곡,홍천,서,강원,1,월요일,4,19:00:00,2019
71,0.06,2,4,2:00:00,2019,기타,산18,남동,도림, ,인천,1,월요일,4,23:30:00,2019
72,0.1,2,4,14:00:00,2019,입산자실화,산140임,황지,통영,광도,경남,2,화요일,4,8:12:00,2019
73,0.04,2,4,12:35:00,2019,기타,산2,금매,울진,매화,경북,2,화요일,4,12:09:00,2019
74,0.05,2,4,14:30:00,2019,기타,산61-7,지곡,담양,가사문학,전남,2,화요일,4,12:34:00,2019
75,0.05,2,4,16:00:00,2019,주택화재비화,산65,장현,남양주,진접,경기,2,화요일,4,13:08:00,2019
76,0.6,2,4,16:10:00,2019,쓰레기소각,산170외4필,임초,가평,상,경기,2,화요일,4,13:41:00,2019
77,0.04,2,4,14:50:00,2019,주택화재비화,산119-7,오상,강화,내가,인천,2,화요일,4,14:05:00,2019
78,0.01,2,4,15:03:00,2019,기타,산38-21,삼감,양산,하북,경남,2,화요일,4,14:16:00,2019
79,1,2,4,19:00:00,2019,논밭두렁소각,693-10외 2필,성동,포천,영중,경기,2,화요일,4,14:48:00,2019
80,0.01,2,4,17:00:00,2019,주택화재비화,산50,소토,양산,상북,경남,2,화요일,4,15:08:00,2019
81,56.9,5,4,18:00:00,2019,쓰레기소각,산133 외,해운대,반송, ,부산,2,화요일,4,15:18:00,2019
82,0.15,2,4,18:50:00,2019,주택화재비화,산82-4,왕피,울진,금강송,경북,2,화요일,4,17:17:00,2019
83,0.3,3,4,11:24:00,2019,논밭두렁소각,산124,내고,구미,선산,경북,3,수요일,4,10:40:00,2019
84,0.05,3,4,13:00:00,2019,성묘객실화,산9-1,양화,공주,계룡,충남,3,수요일,4,12:03:00,2019
85,0.2,3,4,19:00:00,2019,기타,산7,성,합천,대병,경남,3,수요일,4,12:10:00,2019
86,1,3,4,16:50:00,2019,기타,산78,대,양산,원동,경남,3,수요일,4,12:29:00,2019
87,0.5,3,4,18:50:00,2019,기타,산183,법곡,해남,계곡,전남,3,수요일,4,12:34:00,2019
88,0.03,3,4,17:40:00,2019,입산자실화,산40-1,연구,거제,하청,경남,3,수요일,4,13:05:00,2019
89,0.05,3,4,14:40:00,2019,입산자실화,산36-1,교천,천안,목천,충남,3,수요일,4,13:22:00,2019
90,1,3,4,20:30:00,2019,입산자실화,산197,사석,남원,대강,전북,3,수요일,4,13:30:00,2019
91,0.05,3,4,14:15:00,2019,쓰레기소각,산21-30,월향,안성,고삼,경기,3,수요일,4,13:32:00,2019
92,3.5,3,4,20:30:00,2019,쓰레기소각,산243외9필,설곡,가평,설악,경기,3,수요일,4,14:12:00,2019
93,0.7,3,4,17:30:00,2019,기타,산83-2,포동,횡성,갑천,강원,3,수요일,4,14:22:00,2019
94,0.2,3,4,16:00:00,2019,기타,산32-1,송정,거창,거창,경남,3,수요일,4,14:50:00,2019
95,0.1,3,4,16:05:00,2019,주택화재비화,산21-2,인덕,구미,산동,경북,3,수요일,4,15:08:00,2019
96,0.14,3,4,18:10:00,2019,논밭두렁소각,산66,국수,양평,양서,경기,3,수요일,4,15:33:00,2019
97,9.6,4,4,8:00:00,2019,입산자실화,산50,장동,포항,대송,경북,3,수요일,4,19:52:00,2019
98,0.05,3,4,0:00:00,2019,주택화재비화,산204-1,장전,합천,쌍백,경남,3,수요일,4,21:19:00,2019
99,0.04,4,4,1:50:00,2019,기타,산254,용계,순천,상사,전남,3,수요일,4,22:30:00,2019
100,0.2,4,4,13:50:00,2019,기타,산273,화현,포천,화현,경기,4,목요일,4,11:18:00,2019
101,0.01,4,4,12:10:00,2019,쓰레기소각,산114-4,연,의령,용덕,경남,4,목요일,4,11:22:00,2019
102,1.3,4,4,18:00:00,2019,입산자실화,산1-8,외암,아산,송악,충남,4,목요일,4,11:48:00,2019
103,4,4,4,17:30:00,2019,입산자실화,산99임,도심,봉화,춘양,경북,4,목요일,4,12:31:00,2019
104,0.01,4,4,14:00:00,2019,입산자실화,398-4,신정,아산,음봉,충남,4,목요일,4,13:30:00,2019
105,0.05,4,4,14:05:00,2019,성묘객실화,산38-1,모평,횡성,횡성,강원,4,목요일,4,13:30:00,2019
106,2,4,4,17:50:00,2019,논밭두렁소각,593-2(임),객현,파주,적성,경기,4,목요일,4,13:38:00,2019
107,0.02,4,4,16:00:00,2019,쓰레기소각,산53-1,외방,남양주,수동,경기,4,목요일,4,14:22:00,2019
108,0.01,4,4,15:24:00,2019,기타,산49,봉양,의성,안계,경북,4,목요일,4,14:31:00,2019
109,0.21,4,4,17:50:00,2019,입산자실화,산23-1,두호,포항,북,경북,4,목요일,4,14:33:00,2019
110,344.93,6,4,18:00:00,2019,쓰레기소각,산168외67필,남전,인제,남,강원,4,목요일,4,14:45:00,2019
111,0.03,4,4,17:35:00,2019,입산자실화,산52,덕곡,논산,벌곡,충남,4,목요일,4,15:14:00,2019
112,0.5,4,4,18:10:00,2019,주택화재비화,산64,장암,함안,대산,경남,4,목요일,4,15:55:00,2019
113,0.7,4,4,18:00:00,2019,쓰레기소각,산223,손곡,원주,부론,강원,4,목요일,4,16:16:00,2019
114,0.3,4,4,22:20:00,2019,담뱃불실화,산100,합수,연천,중,경기,4,목요일,4,19:08:00,2019
115,1266.62,5,4,18:00:00,2019,기타,산89-2,원암,고성,토성,강원,4,목요일,4,19:17:00,2019
116,0.1,4,4,23:00:00,2019,기타,산42,송전,용인,이동,경기,4,목요일,4,20:14:00,2019
117,0.05,4,4,22:20:00,2019,기타,산145,성대,진천,백곡,충북,4,목요일,4,20:51:00,2019
118,1260.15,5,4,21:30:00,2019,기타,산171,남양,강릉,옥계,강원,4,목요일,4,23:46:00,2019
119,4,5,4,18:00:00,2019,기타,산65-1,장안,기장,장안,부산,5,금요일,4,2:02:00,2019
120,3.6,5,4,12:00:00,2019,기타,산43-2,대각,포항,대송,경북,5,금요일,4,2:50:00,2019
121,0.16,5,4,11:45:00,2019,입산자실화,산76-4,창포,포항,북,경북,5,금요일,4,9:24:00,2019
122,1,5,4,20:00:00,2019,주택화재비화,512-1(임),관산,고양,덕양,경기,5,금요일,4,14:12:00,2019
123,0.01,6,4,10:37:00,2019,입산자실화,산125-1,수성,이천, ,대구,6,토요일,4,9:59:00,2019
124,0.03,6,4,13:00:00,2019,성묘객실화,163-2,도산,당진,정미,충남,6,토요일,4,11:30:00,2019
125,0.1,6,4,13:20:00,2019,논밭두렁소각,산247,옥적,여수,화양,전남,6,토요일,4,11:30:00,2019
126,0.15,6,4,16:00:00,2019,입산자실화,산56,명례,기장,장안,부산,6,토요일,4,11:38:00,2019
127,0.01,6,4,13:00:00,2019,입산자실화,산222-1,동래,온천3, ,부산,6,토요일,4,11:39:00,2019
128,0.1,6,4,13:00:00,2019,성묘객실화,산136,화산,영천,화산,경북,6,토요일,4,12:09:00,2019
129,0.03,6,4,17:00:00,2019,쓰레기소각,산124,자매,진주,수곡,경남,6,토요일,4,13:08:00,2019
130,2,6,4,22:00:00,2019,성묘객실화,산79,신방,영천,자양,경북,6,토요일,4,13:27:00,2019
131,0.01,6,4,14:32:00,2019,입산자실화,산197-2,남송,포항,흥해,경북,6,토요일,4,13:29:00,2019
132,0.5,6,4,17:40:00,2019,입산자실화,산41,치산,영천,신녕,경북,6,토요일,4,13:45:00,2019
133,0.1,6,4,15:55:00,2019,논밭두렁소각,산49-10,삼덕,상주,사벌,경북,6,토요일,4,14:57:00,2019
134,0.01,6,4,18:20:00,2019,성묘객실화,산11,정,문경,마성,경북,6,토요일,4,17:14:00,2019
135,2,7,4,2:30:00,2019,입산자실화,산45,상원,달성,가창,대구,6,토요일,4,20:28:00,2019
136,1.02,7,4,8:40:00,2019,입산자실화,산163,녹동,경주,외동,경북,7,일요일,4,6:21:00,2019
137,0.01,7,4,9:45:00,2019,기타,산68,사하,감천, ,부산,7,일요일,4,9:14:00,2019
138,0.3,7,4,12:21:00,2019,논밭두렁소각,산62,와석,영월,김삿갓,강원,7,일요일,4,10:39:00,2019
139,0.04,7,4,14:10:00,2019,기타,산1-11,대자,고양,덕양,경기,7,일요일,4,13:22:00,2019
140,0.01,7,4,14:35:00,2019,입산자실화,산52-1,대백,창원,진해,경남,7,일요일,4,13:53:00,2019
141,0.1,7,4,17:30:00,2019,기타,산153-1,노원,상계, ,서울,7,일요일,4,15:07:00,2019
142,0.01,7,4,16:40:00,2019,쓰레기소각,214-1,동천,평택,진위,경기,7,일요일,4,16:25:00,2019
143,1,7,4,19:30:00,2019,성묘객실화,산25,광전,예천,유천,경북,7,일요일,4,16:30:00,2019
144,0.8,8,4,15:22:00,2019,논밭두렁소각,산25,장속,보은,보은,충북,8,월요일,4,12:04:00,2019
145,0.01,8,4,14:30:00,2019,주택화재비화,산24-1,창기,태안,안면,충남,8,월요일,4,12:32:00,2019
146,0.06,8,4,15:10:00,2019,논밭두렁소각,산55-1,장동,이천,신둔,경기,8,월요일,4,13:14:00,2019
147,0.6,8,4,17:00:00,2019,기타,산34-2,정자,성남,분당,경기,8,월요일,4,13:34:00,2019
148,0.03,8,4,14:45:00,2019,논밭두렁소각,산60-21,구수,안성,미양,경기,8,월요일,4,13:37:00,2019
149,0.5,8,4,18:00:00,2019,입산자실화,산37-1,관대,인제,남,강원,8,월요일,4,14:45:00,2019
150,0.1,8,4,16:44:00,2019,쓰레기소각,산38-1,문암,음성,원남,충북,8,월요일,4,15:16:00,2019
151,0.09,8,4,19:10:00,2019,기타,산2-1,하남,초일, ,경기,8,월요일,4,18:30:00,2019
152,1.5,9,4,13:59:00,2019,담뱃불실화,산113-1,동천,평택,진위,경기,9,화요일,4,11:15:00,2019
153,0.01,9,4,12:30:00,2019,쓰레기소각,산51-4,정곡,진안,진안,전북,9,화요일,4,11:30:00,2019
154,0.16,9,4,14:17:00,2019,담뱃불실화,산86-1,고모,포천,소흘,경기,9,화요일,4,13:08:00,2019
155,0.7,9,4,17:00:00,2019,논밭두렁소각,산178외 3필지,엄소,가평,설악,경기,9,화요일,4,13:18:00,2019
156,0.01,9,4,14:12:00,2019,기타,산68,사하,감천, ,부산,9,화요일,4,14:09:00,2019
157,0.03,12,4,12:31:00,2019,쓰레기소각,산35,중,목달, ,대전,12,금요일,4,12:15:00,2019
158,0.3,12,4,14:42:00,2019,쓰레기소각,산14-1외3필,월오,청주,상당,충북,12,금요일,4,13:39:00,2019
159,0.57,12,4,23:10:00,2019,기타,산48-1,웅진,양구,양구,강원,12,금요일,4,20:58:00,2019
160,0.02,13,4,15:48:00,2019,입산자실화,산47,송학,양평,강상,경기,13,토요일,4,10:59:00,2019
161,0.03,13,4,14:00:00,2019,기타,산41-15,학현,평택,안중,경기,13,토요일,4,12:53:00,2019
162,0.01,13,4,17:30:00,2019,기타,산113,도봉,도봉, ,서울,13,토요일,4,13:46:00,2019
163,0.03,13,4,16:50:00,2019,성묘객실화,01월 24일,사기소,당진,면천,충남,13,토요일,4,14:29:00,2019
164,0.06,13,4,17:30:00,2019,기타,산201-1,남양주,별내, ,경기,13,토요일,4,15:12:00,2019
165,0.01,13,4,16:45:00,2019,쓰레기소각,06월 05일,보령,남곡, ,충남,13,토요일,4,15:57:00,2019
166,0.01,15,4,9:28:00,2019,기타,산69-7,사하,괴정, ,부산,15,월요일,4,9:13:00,2019
167,0.01,15,4,11:40:00,2019,입산자실화,산15-7,소월,경산,와촌,경북,15,월요일,4,10:55:00,2019
168,0.1,15,4,16:21:00,2019,입산자실화,산1-3,미원,청주,미원,충북,15,월요일,4,15:38:00,2019
169,0.15,15,4,18:28:00,2019,기타,산23-9,위,안동,임동,경북,15,월요일,4,17:10:00,2019
170,0.01,15,4,21:30:00,2019,기타,759-19(임),대자,고양,덕양,경기,15,월요일,4,21:06:00,2019
171,1.2,16,4,6:10:00,2019,주택화재비화,산76-1,제내,경주,외동,경북,15,월요일,4,22:15:00,2019
172,0.09,16,4,18:00:00,2019,입산자실화,126-2(임),송현,고성,현내,강원,16,화요일,4,11:44:00,2019
173,0.03,16,4,13:00:00,2019,기타,산138,오,기장,장안,부산,16,화요일,4,12:08:00,2019
174,0.04,16,4,15:30:00,2019,쓰레기소각,산107-1,김포,풍무, ,경기,16,화요일,4,12:11:00,2019
175,1.5,16,4,15:33:00,2019,기타,산2-1외25필,유성,대정, ,대전,16,화요일,4,13:40:00,2019
176,0.1,5,4,16:20:00,2019,성묘객실화,산52,용계,영천,북안,경북,5,금요일,4,15:15:00,2019
177,0.01,5,4,16:50:00,2019,담뱃불실화,산107,중촌,산청,신안,경남,5,금요일,4,15:57:00,2019
178,0.08,16,4,16:50:00,2019,기타,산63,반곡,홍천,서,강원,16,화요일,4,16:14:00,2019
179,0.01,16,4,18:20:00,2019,입산자실화,산278,초곡,창녕,장마,경남,16,화요일,4,17:01:00,2019
180,0.05,16,4,19:00:00,2019,입산자실화,산129-1,삼전,논산,가야곡,충남,16,화요일,4,17:14:00,2019
181,0.1,17,4,12:15:00,2019,기타,1-7(임),신천,가평,설악,경기,17,수요일,4,10:35:00,2019
182,0.02,17,4,12:30:00,2019,논밭두렁소각,산74,시흥,포, ,경기,17,수요일,4,11:07:00,2019
183,0.1,17,4,16:20:00,2019,쓰레기소각,산137,관하,청도,매전,경북,17,수요일,4,13:17:00,2019
184,0.02,17,4,17:00:00,2019,기타,산96-1,백석,연천,미산,경기,17,수요일,4,13:41:00,2019
185,0.2,17,4,14:51:00,2019,담뱃불실화,산53,삼옥,영월,영월,강원,17,수요일,4,13:52:00,2019
186,2,17,4,22:00:00,2019,기타,산6-2,장죽,안성,금광,경기,17,수요일,4,14:29:00,2019
187,0.12,17,4,17:40:00,2019,기타,산151-265외3필,문호,양평,서종,경기,17,수요일,4,14:57:00,2019
188,0.09,17,4,18:10:00,2019,기타,산103-1,삼성,양평,용운,경기,17,수요일,4,15:53:00,2019
189,0.05,17,4,23:30:00,2019,입산자실화,산68,동,도, ,대구,17,수요일,4,20:49:00,2019
190,0.1,18,4,13:43:00,2019,기타,산140,홍계,포항,대송,경북,18,목요일,4,10:53:00,2019
191,0.1,18,4,14:10:00,2019,주택화재비화,산44-2,유성,성북, ,대전,18,목요일,4,13:24:00,2019
192,0.1,18,4,14:48:00,2019,논밭두렁소각,산128,중눌,상주,화남,경북,18,목요일,4,13:51:00,2019
193,0.02,18,4,17:00:00,2019,기타,산13,남,이장, ,광주,18,목요일,4,16:29:00,2019
194,0.03,19,4,16:50:00,2019,쓰레기소각,산92-4,노곡,연천,백학,경기,19,금요일,4,14:53:00,2019
195,0.05,19,4,19:30:00,2019,입산자실화,산31-38,관성,천안,병천,충남,19,금요일,4,18:09:00,2019
196,0.01,19,4,18:37:00,2019,담뱃불실화,산57,이매,성남,분당,경기,19,금요일,4,18:20:00,2019
197,0.03,20,4,12:00:00,2019,논밭두렁소각,산3,구왕,공주,계룡,충남,20,토요일,4,10:12:00,2019
198,0.06,20,4,12:45:00,2019,기타,산92-1,망미,양평,지평,경기,20,토요일,4,11:40:00,2019
199,0.01,20,4,12:55:00,2019,기타,9임,존도,문경,산양,경북,20,토요일,4,12:07:00,2019
200,0.03,20,4,15:30:00,2019,입산자실화,산102,고성,춘천,사북,강원,20,토요일,4,12:27:00,2019
201,0.06,20,4,14:15:00,2019,담뱃불실화,산75-3,금곡,평택,안중,경기,20,토요일,4,13:33:00,2019
202,0.03,20,4,17:40:00,2019,기타,산10-4,하신,공주,반포,충남,20,토요일,4,14:19:00,2019
203,0.1,20,4,17:06:00,2019,쓰레기소각,산166,사산,무주,적상,전북,20,토요일,4,15:30:00,2019
204,0.01,20,4,16:40:00,2019,입산자실화,산56-1,태평,임실,성수,전북,20,토요일,4,15:50:00,2019
205,0.5,20,4,19:32:00,2019,논밭두렁소각,산118,여천,단양,가곡,충북,20,토요일,4,17:07:00,2019
206,0.3,21,4,16:00:00,2019,입산자실화,산214,산음,양평,단월,경기,21,일요일,4,10:57:00,2019
207,2.53,22,4,2:00:00,2019,입산자실화,산127,갈면,울진,매화,경북,21,일요일,4,11:31:00,2019
208,0.01,21,4,20:25:00,2019,입산자실화,산8-1,신화,아산,영인,충남,21,일요일,4,19:15:00,2019
209,0.26,22,4,13:31:00,2019,쓰레기소각,산424,용담,화천,사내,강원,22,월요일,4,12:19:00,2019
210,0.04,22,4,16:30:00,2019,기타,산25,강동,길, ,서울,22,월요일,4,13:45:00,2019
211,0.3,22,4,14:35:00,2019,논밭두렁소각,산42,삼항,청주,가덕,충북,22,월요일,4,13:48:00,2019
212,0.02,22,4,15:50:00,2019,논밭두렁소각,산68-5,시흥,논곡, ,경기,22,월요일,4,14:11:00,2019
213,0.01,22,4,16:50:00,2019,입산자실화,산19-1,무릉,괴산,청천,충북,22,월요일,4,15:02:00,2019
214,0.02,22,4,17:30:00,2019,기타,산143-1,차산,남양주,화도,경기,22,월요일,4,15:30:00,2019
215,0.01,23,4,9:50:00,2019,기타,산11,존도,문경,산양,경북,23,화요일,4,8:53:00,2019
216,0.01,23,4,12:10:00,2019,기타,산8,임천,밀양,삼랑진,경남,23,화요일,4,10:55:00,2019
217,0.01,23,4,15:40:00,2019,논밭두렁소각,647,상번천,광주,남한산성,경기,23,화요일,4,14:15:00,2019
218,0.01,2,5,14:00:00,2019,기타,139(임),삼거,연천,군남,경기,2,목요일,5,11:58:00,2019
219,0.2,2,5,16:25:00,2019,입산자실화,287-5,강촌,춘천,남산,강원,2,목요일,5,14:21:00,2019
220,0.03,2,5,17:10:00,2019,주택화재비화,산21,유현,횡성,성원,강원,2,목요일,5,16:28:00,2019
221,0.01,3,5,12:00:00,2019,입산자실화,산10,모화,경주,외동,경북,3,금요일,5,11:00:00,2019
222,0.5,3,5,16:00:00,2019,기타,산6-2,대자,고양,덕양,경기,3,금요일,5,12:04:00,2019
223,0.05,3,5,16:01:00,2019,입산자실화,산1-1,춘천,석사, ,강원,3,금요일,5,14:44:00,2019
224,0.16,4,5,14:30:00,2019,기타,산150-2임,남포,옹진,백령,인천,4,토요일,5,13:10:00,2019
225,0.01,4,5,15:15:00,2019,입산자실화,산89-1(임),무갑,광주,초월,경기,4,토요일,5,14:10:00,2019
226,0.05,5,5,4:45:00,2019,입산자실화,산1-1,춘천,석사, ,강원,5,일요일,5,3:22:00,2019
227,0.15,5,5,12:30:00,2019,입산자실화,산222,삽교,횡성,둔내,강원,5,일요일,5,11:40:00,2019
228,5.2,5,5,22:00:00,2019,기타,산21,소치,인제,남,강원,5,일요일,5,14:25:00,2019
229,0.02,5,5,19:00:00,2019,입산자실화,산23,사상,괘법, ,부산,5,일요일,5,18:20:00,2019
230,0.03,6,5,11:25:00,2019,입산자실화,산6,산수,서산,해미,충남,6,월요일,5,10:19:00,2019
231,0.01,6,5,15:30:00,2019,입산자실화,산71-2,임평,장수,계북,전북,6,월요일,5,10:45:00,2019
232,0.15,6,5,13:50:00,2019,쓰레기소각,산155,갈운,양평,청운,경기,6,월요일,5,11:38:00,2019
233,0.2,6,5,15:10:00,2019,입산자실화,산4-17,월호,서천,서,충남,6,월요일,5,13:18:00,2019
234,0.05,6,5,18:00:00,2019,입산자실화,산162,범왕,하동,화개,경남,6,월요일,5,13:44:00,2019
235,0.05,6,5,17:00:00,2019,입산자실화,산40-1,기산,장흥,안양,전남,6,월요일,5,13:55:00,2019
236,0.02,6,5,14:58:00,2019,입산자실화,산317-1,군업,홍천,화촌,강원,6,월요일,5,14:08:00,2019
237,0.01,6,5,17:05:00,2019,입산자실화,산72,보석,군산,임피,전북,6,월요일,5,14:10:00,2019
238,0.5,6,5,16:50:00,2019,쓰레기소각,산4-1,설계,영동,영동,충북,6,월요일,5,14:37:00,2019
