id,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
2818,0.07,22,5,18:20:00,2017,기타(직접입력),산12,양악,장수,계북,전북,22,월요일,5,15:33:00,2017
2819,0.05,22,5,19:30:00,2017,기타(직접입력),산9-1,양화,공주,계룡,충남,22,월요일,5,17:35:00,2017
2820,0.01,22,5,21:00:00,2017,기타(직접입력),산12,추평,충주,엄정,충북,22,월요일,5,19:08:00,2017
2821,0.01,23,5,18:00:00,2017,기타(직접입력),산65-4,양촌,고성,동해,경남,23,화요일,5,16:00:00,2017
2822,0.04,23,5,19:54:00,2017,기타(직접입력),산16,경주,손곡, ,경북,23,화요일,5,17:34:00,2017
2823,0.01,23,5,19:45:00,2017,쓰레기소각,산24-7임,궁평,화성,서신,경기,23,화요일,5,18:19:00,2017
2824,0.05,25,5,15:00:00,2017,기타(직접입력),산93,방동,춘천,서,강원,25,목요일,5,10:40:00,2017
2825,0.05,25,5,14:40:00,2017,농산폐기물소각,산22,개일,청송,현동,경북,25,목요일,5,13:31:00,2017
2826,0.01,25,5,17:00:00,2017,기타(직접입력),산7,북,연경, ,대구,25,목요일,5,15:28:00,2017
2827,0.01,26,5,12:30:00,2017,쓰레기소각,산9-2,당림,춘천,서,강원,26,금요일,5,11:07:00,2017
2828,0.02,26,5,13:50:00,2017,쓰레기소각,산40,동,내, ,대구,26,금요일,5,12:33:00,2017
2829,0.01,26,5,18:20:00,2017,무속행위,산7-1,동,내, ,대구,26,금요일,5,16:54:00,2017
2830,0.01,26,5,20:30:00,2017,기타(직접입력),산41-1,기촌,단양,단양,충북,26,금요일,5,19:38:00,2017
2831,0.08,27,5,12:25:00,2017,쓰레기소각,산1-2,노동,평창,용평,강원,27,토요일,5,11:03:00,2017
2832,1,27,5,17:50:00,2017,기타(직접입력),산61-1,평촌,김천,증산,경북,27,토요일,5,12:33:00,2017
2833,0.01,27,5,15:10:00,2017,기타(직접입력),산51,구리,아천, ,경기,27,토요일,5,13:10:00,2017
2834,0.03,27,5,18:35:00,2017,기타(직접입력),산26,지축,고양,덕양,경기,27,토요일,5,16:10:00,2017
2835,0.05,27,5,17:50:00,2017,농산폐기물소각,산48,광기,김천,감천,경북,27,토요일,5,16:34:00,2017
2836,0.03,28,5,13:30:00,2017,기타(직접입력),산19-1,학가,해남,송지,전남,28,일요일,5,10:10:00,2017
2837,0.01,28,5,14:58:00,2017,기타(직접입력),산211-1,대현,경주,산내,경북,28,일요일,5,13:35:00,2017
2838,0.02,28,5,18:30:00,2017,등산객실화,산144,상법,산청,차황,경남,28,일요일,5,14:50:00,2017
2839,0.1,28,5,17:05:00,2017,기타(직접입력),산8-1,사동,울진,기성,경북,28,일요일,5,14:51:00,2017
2840,0.2,28,5,17:50:00,2017,기타(직접입력),산65-1,중,완주,화산,전북,28,일요일,5,15:10:00,2017
2841,0.02,28,5,16:45:00,2017,기타(직접입력),산34-4,월계,담양,용,전남,28,일요일,5,15:40:00,2017
2842,0.05,29,5,15:10:00,2017,농산폐기물소각,산137,토곡,영양,청기,경북,29,월요일,5,13:00:00,2017
2843,0.03,29,5,17:00:00,2017,기타(직접입력),산108-26,성덕,장성,북일,전남,29,월요일,5,14:15:00,2017
2844,0.1,30,5,14:20:00,2017,농산폐기물소각,산145-2,구천,봉화,상운,경북,30,화요일,5,11:20:00,2017
2845,0.03,30,5,14:20:00,2017,쓰레기소각,산101,고감,봉화,명호,경북,30,화요일,5,12:25:00,2017
2846,0.05,31,5,10:00:00,2017,기타(직접입력),산3,동,도, ,대구,31,수요일,5,5:41:00,2017
2847,0.05,31,5,9:40:00,2017,기타(직접입력),산57-13,관악,신림, ,서울,31,수요일,5,8:29:00,2017
2848,0.3,1,6,3:05:00,2017,담뱃불실화,산35-1,포진,원주,문막,강원,1,목요일,6,0:50:00,2017
2849,0.01,1,6,18:29:00,2017,기타(직접입력),산49-1,금화,칠곡,가산,경북,1,목요일,6,17:28:00,2017
2850,1.7,2,6,10:00:00,2017,기타(직접입력),산145-1,노원,상계, ,서울,1,목요일,6,21:29:00,2017
2851,1.5,10,3,17:55:00,2014,쓰레기 소각,산105,이산,무안,몽탄,전남,10,월요일,3,16:05:00,2014
2852,0.05,11,3,11:00:00,2014,논밭두렁 소각,산245,고죽,경산,용성,경북,11,화요일,3,10:05:00,2014
2853,2,11,3,17:30:00,2014,논두렁 소각,산15-3,도촌,보성,득량,전남,11,화요일,3,12:20:00,2014
2854,0.1,11,3,14:50:00,2014,쓰레기 소각,산10-3,산직,논산,양촌,충남,11,화요일,3,12:56:00,2014
2855,0.2,11,3,15:00:00,2014,농산폐기물 소각,산3,수월,예천,지보,경북,11,화요일,3,13:16:00,2014
2856,0.18,11,3,15:48:00,2014,쓰레기 소각,산11,선원,영천,임고,경북,11,화요일,3,13:29:00,2014
