OCCRR_DTM,OCUR_DYWK,EXTING_DTM,RQRMN_TM,ARA_NM,CTPRV_NM,SGNG_NM,EMNDN_NM,OCCCRR_RI,ARA_LTNMB,CUSE_NM,DMG_AREA,DMG_MONEY,TM_X,TM_Y
1.99104E+11,월,1.99104E+11,225,충북,충북,청원,문의,마동,산53-1,논밭두렁소각,2,25,1005336.933,1832183.444
1.99304E+11,월,1.99304E+11,300,충북,충북,청원,문의,문덕,산82-1,성묘객실화,3,480,1002720.641,1829685.991
1.99304E+11,월,1.99304E+11,2350,충북,충북,청원,문의,산덕,산54-2,밭두렁소각,0.2,15,1000732.797,1832288.932
1.99304E+11,화,1.99304E+11,200,충북,충북,청원,미원,월용,산1,모닥불실화,3,480,1019434.925,1849049.411
1.99402E+11,목,1.99402E+11,28,충북,충북,청원,문의,마동,산16,어린이불장난,0.5,30,1004451.426,1834372.746
1.99402E+11,일,1.99402E+11,45,충북,충북,청원,가덕,한계,산33-8,어린이불장난,1.4,40,1006455.596,1843524.737
1.99404E+11,월,1.99404E+11,35,충북,충북,청원,미원,가양,산18-1,정신이상자실화,0.5,50,1010407.775,1853093.131
1.99503E+11,화,1.99503E+11,310,충북,충북,청원,문의,마동,산43-1,밭두렁소각,3.2,195,1004787.095,1832990.318
1.99502E+11,수,1.99502E+11,120,충북,충북,청원,미원,성대,산1-1,담배불실화추정,1,60,1014848.998,1846859.665
1.99504E+11,일,1.99504E+11,230,충북,충북,청원,가덕,한계,산69-1,낚시꾼실화,2.8,200,1004774.866,1845988.042
1.99504E+11,화,1.99504E+11,15,충북,충북,청원,미원,화창,산68,밭두렁소각,0.2,7,1010253.452,1850900.09
1.99602E+11,월,1.99602E+11,130,충북,충북,청원,문의,도원,산12,기타,1.5,700,997611.5443,1837465.092
1.99702E+11,토,1.99702E+11,124,충북,충북,청원,문의,문덕,산72-1,성묘객실화,1.3,200,1001186.409,1829451.622
1.99703E+11,수,1.99703E+11,30,충북,충북,청원,문의,미천,산7-1,농산폐기물소각,0.5,30,1000396.4,1836774.555
