OCCRR_DTM	OCUR_DYWK	EXTING_DTM	RQRMN_TM	ARA_NM	CTPRV_NM	SGNG_NM	EMNDN_NM	OCCCRR_RI	ARA_LTNMB	CUSE_NM	DMG_AREA	DMG_MONEY	TM_X	TM_Y
1.99E+11	수	1.99E+11	100	경남	경남	창원	동	화양	산29	논밭두렁소각	2	200	1104269.172	1702755.44
1.99E+11	월	1.99E+11	110	경남	경남	창원	북	화천	산23-1	쓰레기소각	3	280	1100987.701	1701057.57
2.00E+11	일	2.00E+11	35	경남	경남	창원	도계		산1	담배불실화추정	0.6	30	1105403.77	1697259.987
2.00E+11	수	2.00E+11	25	경남	경남	창원	동	본포	산1-1	담배불실화	0.1	5	1103749.956	1708954.887
2.00E+11	월	2.00E+11	40	경남	경남	창원	북	외감	산78	입산자실화추정	0.3	350	1098903.067	1698959.8
2.00E+11	수	2.00E+11	10	경남	경남	창원	동	용강	산1	성묘객실화추정	0.2	7	1103955.11	1699396.496
2.00E+11	일	2.00E+11	245	경남	경남	창원	북	월백	산1	입산자실화추정	2.5	220	1103189.45	1704741.724
2.00E+11	토	2.00E+11	235	경남	경남	창원	북	고암	산60	정신이상자실화	0.7	25	1103274.959	1699756.729
2.00E+11	토	2.00E+11	355	경남	경남	창원	북	고암	산60	정신이상자실화	0.5	20	1103274.959	1699756.729
2.00E+11	화	2.00E+11	155	경남	경남	창원	동	용강	산76-2	기타	20	0	1103672.912	1698879.359
2.00E+11	일	2.00E+11	50	경남	경남	창원	북	월촌	산8	차량화재	0.07	195	1101206.95	1703231.681
2.00E+11	일	2.00E+11	726	경남	경남	창원	동	덕산	산1-2	입산자실화추정	3.2	5517	1107492.793	1697914.7
2.01E+11	화	2.01E+11	35	경남	경남	창원시	마산합포구	진전면 동산리	산51				1081311.389	1681144.931
2.01E+11	수	2.01E+11	130	경남	경남	창원시	구산면	구복리	산122				1098724.574	1675704.601
2.01E+11	토	2.01E+11	155	경남	경남	창원시	마선합포구 진북면	부산리	산51	농산폐기물소각			1087426.725	1683850.524
1.99E+11	금	1.99E+11	145	경남	경남	마산	교방		산34-1	무속행위	1	75	1095550.267	1690508.811
1.99E+11	금	1.99E+11	100	경남	경남	마산	진동	교동	산28	입산자실화	0.1	15	1092142.336	1680709.806
1.99E+11	일	1.99E+11	150	경남	경남	마산	진전	봉곡	산36	입산자실화	3	400	1083878.777	1679677.421
1.99E+11	금	1.99E+11	100	경남	경남	마산	예곡		산23	성묘객실화	1	50	1096141.437	1686160.53
1.99E+11	일	1.99E+11	40	경남	경남	마산	덕동		산162	성묘객실화	0.1	10	1098656.335	1683321.429
1.99E+11	일	1.99E+11	220	경남	경남	마산	진동	고현	산16	성묘객실화	2	50	1088456.826	1678852.296
2.00E+11	수	2.00E+11	535	경남	경남	마산	구산	옥계	산1-1	밭두렁소각	6	100	1101514.843	1678280.939
2.00E+11	수	2.00E+11	350	경남	경남	마산	구산	내포	산56-3	성묘객실화	5	300	1098057.159	1679218.068
2.00E+11	화	2.00E+11	132	경남	경남	마산	현		산43	입산자실화	0.1	274	1096993.932	1684256.909
2.00E+11	수	2.00E+11	40	경남	경남	마산	진동	요장	산142	쓰레기소각	0.2	556	1092714.071	1679068.917
2.00E+11	화	2.00E+11	110	경남	경남	마산	진전	고사	산62-1	농산폐기물소각	0.1	270	1079491.106	1685434.592
2.00E+11	화	2.00E+11	40	경남	경남	마산	진북	금산	산1-1	입산자실화추정	0.05	0	1086426.438	1685788.525
2.00E+11	일	2.00E+11	410	경남	경남	마산	구산	내포	산57-1	입산자실화추정	2	2740	1098048.135	1679141.696
2.01E+11	화	2.01E+11	230	경남	경남	창원	마산회원	봉암리	산1-12				1100096.463	1693351.579
1.99E+11	토	1.99E+11	150	경남	경남	마산	봉암		산1-1	입산자실화	1	100	1100600.664	1694070.224
1.99E+11	수	1.99E+11	355	경남	경남	마산	내서	평성	산15	입산자실화	7	500	1094698.774	1696621.673
1.99E+11	수	1.99E+11	40	경남	경남	마산	구암		산93	입산자실화	0.2	0	1098903.586	1696213.071
1.99E+11	목	1.99E+11	220	경남	경남	마산	봉암		산1-1	입산자실화	0.5	0	1100600.664	1694070.224
2.00E+11	화	2.00E+11	45	경남	경남	마산	회원		산7	입산자실화추정	0.2	50	1097925.428	1692585.945
2.00E+11	월	2.00E+11	150	경남	경남	마산	봉암		산69-1	입산자실화추정	5	1000	1101861.976	1691790.153
2.00E+11	월	2.00E+11	50	경남	경남	마산	회원		산7	입산자실화추정	0.5	15	1097925.428	1692585.945
2.00E+11	목	2.00E+11	125	경남	경남	마산	합성		산117	입산자실화추정	0.4	0	1098605.954	1695209.145
2.00E+11	월	2.00E+11	40	경남	경남	마산	내서	원계	산199	농산폐기물소각	0.06	0	1091866.105	1693472.039
2.00E+11	일	2.00E+11	55	경남	경남	마산	봉암		산69-1	입산자실화추정	0.5	1349	1101861.976	1691790.153
2.00E+11	목	2.00E+11	145	경남	경남	마산	회원		산7	입산자실화추정	0.15	270	1097925.428	1692585.945
1.99E+11	목	1.99E+11	55	경남	경남	진해	마천		산3-1	어린이불장난	1.5	2048	1117816.868	1682847.091
1.99E+11	화	1.99E+11	55	경남	경남	진해	명		산202	미상	1	0	1110396.129	1675100.623
1.99E+11	화	1.99E+11	125	경남	경남	진해	원포		산12-3	입산자실화	2.5	170	1111018.438	1680666.935
2.00E+11	월	2.00E+11	35	경남	경남	진해	장천		산1-1	입산자실화추정	0.4	5	1110606.604	1681478.722
2.00E+11	일	2.00E+11	115	경남	경남	진해	자은		산1-1	입산자실화추정	0.1	20	1111861.014	1684737.004
2.00E+11	월	2.00E+11	155	경남	경남	진해	두		산224	방화추정	1.5	80	1119209.191	1681111.025
2.00E+11	수	2.00E+11	125	경남	경남	진해	행암		산14	입산자실화	1.5	100	1108809.573	1679217.781
2.00E+11	화	2.00E+11	205	경남	경남	진해	용원		산8	입산자실화	0.1	0	1121229.545	1679531.826
2.00E+11	일	2.00E+11	300	경남	경남	진해	북부		산1	입산자실화	0.03	0	1114340.848	1680868.702
2.00E+11	일	2.00E+11	240	경남	경남	진해	자은		산1-1	입산자실화	0.3	50	1111861.014	1684737.004
2.00E+11	토	2.00E+11	15	경남	경남	진해	북부		산84	입산자실화추정	0.01	0	1112672.634	1681160.607
2.00E+11	수	2.00E+11	200	경남	경남	진해	용원		산193	입산자실화	3.05	8488	1119766.523	1678738.634
2.00E+11	월	2.00E+11	20	경남	경남	진해	용원		산25	입산자실화추정	0.02	54	1121276.631	1680123.061
2.01E+11	화	2.01E+11	40	경남	경남	진주시	지수면	압사리	산38	농산폐기물소각			1068348.549	1694578.725
1.99E+11	목	1.99E+11	300	경남	경남	진주	명석	남성	산72	논밭두렁소각	2	100	1050247.307	1699999.647
1.99E+11	목	1.99E+11	140	경남	경남	진주	대곡	덕곡	산164	논밭두렁소각	1	100	1063706.088	1693846.152
2.00E+11	일	2.00E+11	30	경남	경남	진주	미천	어옥	산1	입산자실화추정	0.2	5	1058629.779	1703756.785
2.00E+11	화	2.00E+11	1705	경남	경남	진주	진성	상촌	산116	쓰레기소각	13	2658	1066356.161	1687571.037
2.00E+11	월	2.00E+11	225	경남	경남	진주	명석	외율	산1	기타	0.6	0	1047075.406	1700840.914
2.00E+11	월	2.00E+11	40	경남	경남	진주	집현	덕오	산264	쓰레기소각	0.1	278	1055530.605	1696683.856
2.00E+11	수	2.00E+11	230	경남	경남	진주	명석	외율	산1	성묘객실화	1.5	4111	1047075.406	1700840.914
2.00E+11	화	2.00E+11	305	경남	경남	진주	지수	청담	산8	입산자실화추정	0.3	809	1071921.459	1694762.342
1.91E+11				경남	경남	진주	진성	동산	산134		3	0	1063323.624	1689839.759
