OCCRR_DTM	OCUR_DYWK	EXTING_DTM	RQRMN_TM	ARA_NM	CTPRV_NM	SGNG_NM	EMNDN_NM	OCCCRR_RI	ARA_LTNMB	CUSE_NM	DMG_AREA	DMG_MONEY	TM_X	TM_Y
2.01E+11	화	2.01E+11	140	경북	경북 포항	남구	동해면	발산리	산59	농산폐기물소각			1180960.382	1783933.992
2.01E+11	토	2.01E+11	1515	경북	경북	포항시	연일읍	우복리	산200	벌꿀소독			1165233.079	1777262.516
2.01E+11	월	2.01E+11	42	경북	경북	포항시남구	오천읍	항사리	산47-1				1167747.419	1768669.038
2.01E+11	목	2.01E+11	130	경북	경북	포항	남	장기리	산473				1179725.078	1768405.329
2.01E+11	토	2.01E+11	1652	경북	경북	포항시	북구	용흥동	산122				1166438.808	1784266.234
2.01E+11	월	2.01E+11	58	경북	경북	북구	창포동		Mar-81				1167617.177	1787502.741
2.01E+11	토	2.01E+11	304	경북	경북	포항시북구	장성동		산58				1169163.2	1789166.63
2.01E+11	화	2.01E+11	0	경북	경북	포항시	북구	장성리	산256				1169295.363	1788599.446
2.01E+11	화	2.01E+11	130	경북	경북	경주시	양북면	용동리	산366	논두렁소각			1173545.646	1759935.993
2.01E+11	토	2.01E+11	156	경북	경북	경주시	외동읍	죽동리	산23-1	입산자실화			1163339.571	1750385.319
2.01E+11	토	2.01E+11	35	경북	경북	경주시	외동읍	녹동리	산161-1	입산자실화			1159516.613	1742149.229
2.01E+11	화	2.01E+11	111	경북	경북	경주시	내남면	명계리	산127	자동차화재			1158266.865	1748857.778
1.99E+11	수	1.99E+11	230	경북	경북	경주	안강	두류	산121	군사훈련	2	400	1148766.029	1778269.003
1.99E+11	월	1.99E+11	35	남부	경북	경주	교		산1	농산부산물소각	0.2	294	1155368.324	1760086.031
1.99E+11	토	1.99E+11	133	경북	경북	경주	석장		산60-1	성묘객실화	1.5	116	1152931.025	1763182.393
1.99E+11	토	1.99E+11	240	경북	경북	경주	내남	화곡	산111	입산자실화	2	100	1151844.361	1754342.498
1.99E+11	목	1.99E+11	740	경북	경북	경주	강동	단구	산9	입산자실화	3	120	1158736.962	1785989.686
1.99E+11	금	1.99E+11	245	경북	경북	경주	내남	안심	산2	입산자실화	1.2	36	1150989.807	1750334.483
1.99E+11	월	1.99E+11	220	경북	경북	경주	건천	용명	산32	논두렁소각	3.5	210	1146719.036	1765973.456
1.99E+11	화	1.99E+11	50	경북	경북	경주	강동	국당	산70	입산자실화	0.7	330	1162132.595	1777295.066
1.99E+11	일	1.99E+11	140	경북	경북	경주	내남	이조	산5	어린이불장난	9	810	1155222.043	1752226.396
1.99E+11	일	1.99E+11	30	경북	경북	경주	건천	신평	산42	입산자실화추정	0.5	30	1141529.187	1764307.295
1.99E+11	토	1.99E+11	130	경북	경북	경주	내남	부지	산9-4	논밭두렁소각	4	240	1152564.131	1753687.073
1.99E+11	일	1.99E+11	120	경북	경북	경주	내남	화곡	산3-1	입산자실화	3	180	1152167.964	1754724.112
1.99E+11	금	1.99E+11	140	경북	경북	경주	내남	안심	산226	입산자실화	2.5	250	1151633.528	1748653.625
2.00E+11	월	2.00E+11	140	경북	경북	경주	내남	상신	산1-1	입산자실화추정	1.2	150	1151102.068	1751675.015
2.00E+11	월	2.00E+11	110	경북	경북	경주	안강	강교	산132	폐탄처리장에서발화	0.2	0	1146020.992	1775661.431
2.00E+11	일	2.00E+11	315	경북	경북	경주	안강	검단	산1	입산자실화추정	5	300	1155067.504	1774308.528
2.00E+11	수	2.00E+11	130	경북	경북	경주	양남	신대	산1	입산자실화추정	1.5	90	1171859.785	1746390.889
2.00E+11	월	2.00E+11	110	경북	경북	경주	외동	녹동	산1-1	입산자실화추정	0.65	36	1163299.16	1741521.27
2.00E+11	수	2.00E+11	35	경북	경북	경주	효현		산1-1	입산자실화추정	0.6	36	1148835.094	1759860.125
2.00E+11	월	2.00E+11	120	경북	경북	경주	율		산1	입산자실화추정	0.1	6	1153302.862	1757253.998
2.00E+11	화	2.00E+11	115	경북	경북	경주	양남	서동	산27	논두렁소각	1	66	1174878.232	1742613.927
2.00E+11	금	2.00E+11	115	경북	경북	경주	북군		산116	전기누전	0.6	36	1158978.912	1763144.287
2.00E+11	일	2.00E+11	140	경북	경북	경주	양남	신대	산1	입산자실화추정	0.2	12	1171859.785	1746390.889
2.00E+11	금	2.00E+11	255	경북	경북	경주	동천		산26-1	입산자실화추정	1.1	66	1157161.589	1763747.375
2.00E+11	목	2.00E+11	140	경북	경북	경주	안강	노당	산1-1	논밭두렁소각	1.8	180	1156416.137	1785186.36
2.00E+11	토	2.00E+11	117	경북	경북	경주	현곡	가정	산1	입산자실화	1.2	250	1151520.493	1768795.865
2.00E+11	토	2.00E+11	25	경북	경북	경주	외동	입실	산1	기타	0.2	0	1168328.173	1749403.24
