OCCRR_DTM	OCUR_DYWK	EXTING_DTM	RQRMN_TM	ARA_NM	CTPRV_NM	SGNG_NM	EMNDN_NM	OCCCRR_RI	ARA_LTNMB	CUSE_NM	DMG_AREA	DMG_MONEY	TM_X	TM_Y
2.01E+11	수	2.01E+11	213	강원	강원	춘천시	남산	강촌리	산41-3	농산폐기물소각			1013903.55	1979356.776
2.01E+11	수	2.01E+11	200	강원	강원	춘천시	남산면	산수리	산143	농산폐기물소각			1014657.105	1966835.594
2.01E+11	토	2.01E+11	105	강원	강원	춘천시	북상면	오항리	산19	쓰레기소각			1034931.991	1998694.897
2.01E+11	월	2.01E+11	129	강원	강원	춘천시	동면	지내리	산10	입산자실화			1024897.011	1991314.945
2.01E+11	금	2.01E+11	200	강원	강원	춘천시	서면	덕두원리	산70	입산자실화			1014544.467	1983472.668
2.01E+11	화	2.01E+11	224	강원	강원	춘천시	사북면	송암리	산46	입산자실화 추정			1017753	2001025.662
2.01E+11	금	2.01E+11	128	강원	강원	춘천	동면	만천리	1002-39임				1024472.476	1986577.096
2.01E+11	화	2.01E+11	50	강원	강원	춘천	동	만천리	산14-1	입산자실화			1025291.207	1986689.017
2.01E+11	월	2.01E+11	303	강원	강원	춘천시	동면	만천리	산14	입산자실화			1025340.933	1986559.84
1.99E+11	화	1.99E+11	1830	강원	강원	춘천	북산	조교	산1-35	군사훈련	10	1800	1041425.981	1993220.564
1.99E+11	화	1.99E+11	40	강원	강원	춘천	신동	혈동	산212	산채채취자실화	1	125	1018480.998	1975141.2
1.99E+11	일	1.99E+11	205	강원	강원	춘천	서	덕두원	산41-1	논밭두렁소각	2.5	50	1015098.789	1983075.917
1.99E+11	금	1.99E+11	340	강원	강원	춘천	북산	조교	산1-1	취사행위	3	150	1039196.808	1994563.374
1.99E+11	목	1.99E+11	145	강원	강원	춘천	사북	신포	산68-1	군사훈련	1.5	175	1012818.788	2002071.325
1.99E+11	수	1.99E+11	30	강원	강원	춘천	신동	증	산21-1	성묘객실화	1.2	35	1020096.328	1981089.079
1.99E+11	수	1.99E+11	30	강원	강원	춘천	동내	사암	산1-1	지뢰폭발	0.3	30	1026655.094	1980495.517
1.99E+11	목	1.99E+11	140	강원	강원	춘천	동내	사암	산99-1	입산자실화	0.1	10	1024030.171	1980305.35
1.99E+11	수	1.99E+11	40	강원	강원	춘천	사북	인람	산4-1	담배불실화추정	1	10	1015642.027	1997781.444
1.99E+11	목	1.99E+11	25	강원	강원	춘천	칠전		산39-1	미상	0.5	100	1019007.008	1981674.783
1.99E+11	금	1.99E+11	205	강원	강원	춘천	삼천		산47	입산자실화	10.2	25800	1017740	1984759.067
1.99E+11	토	1.99E+11	200	강원	강원	춘천	사북	인람	산41	담배불실화	1	60	1015473.166	1998039.604
1.99E+11	월	1.99E+11	45	강원	강원	춘천	석사		산1-1	논밭두렁소각	0.3	30	1023152.488	1985348.285
1.99E+11	토	1.99E+11	210	북부	강원	춘천	신북	유포	산52-1	입산자실화추정	1	30	1025531.998	1997852.352
1.99E+11	토	1.99E+11	55	강원	강원	춘천	신북	지내	산35	성묘객실화	2	4500	1019287.492	1995301.228
1.99E+11	토	1.99E+11	115	강원	강원	춘천	칠전		산31-1	논두렁소각	1	1530	1018332.245	1982957.742
1.99E+11	일	1.99E+11	150	강원	강원	춘천	서	당림	산126-1	입산자실화	1.2	18	1009472.863	1986214.775
1.99E+11	금	1.99E+11	135	강원	강원	춘천	칠전		산31-1	논두렁소각	4	3840	1018332.245	1982957.742
1.99E+11	수	1.99E+11	43	강원	강원	춘천	신북	지내	산43	논두렁소각	1	1890	1019647.31	1994769.002
2.00E+11	월	2.00E+11	110	강원	강원	춘천	사북	원평	산25	입산자실화	1	45	1014214.389	2001572.418
2.00E+11	화	2.00E+11	135	강원	강원	춘천	북산	추곡	산68	농산부산물소각	1.5	45	1033832.093	2001656.06
2.00E+11	화	2.00E+11	200	강원	강원	춘천	사북	고성	산71-1	차량에의한발화추정	7	43974	1019895.75	2001360.97
2.00E+11	수	2.00E+11	35	강원	강원	춘천	사북	신포	산104-4	가옥화재	0.9	5	1013197.105	2002454.871
2.00E+11	토	2.00E+11	210	강원	강원	춘천	서	현암	산49	입산자실화추정	4.5	1600	1015451.565	1986436.119
2.00E+11	일	2.00E+11	40	강원	강원	춘천	서	덕두원	산28-2	논두렁소각	0.5	10	1014938.993	1983967.478
2.00E+11	일	2.00E+11	30	강원	강원	춘천	신동	팔미	산74-1	열차승객담뱃불실화추정	0.3	3	1018011.56	1979882.914
2.00E+11	수	2.00E+11	110	강원	강원	춘천	남산	광판	산214	양계장불로인화	2.8	11893	1016767.747	1971942.71
2.00E+11	금	2.00E+11	25	강원	강원	춘천	남산	방하	산1-1	기타	0.5	25	1003386.001	1979898.218
2.00E+11	금	2.00E+11	128	강원	강원	춘천	서	서상	산173	입산자실화	3	600	1016828.43	1993097.569
2.00E+11	금	2.00E+11	15	강원	강원	춘천	온의		산30-8	입산자실화	0.1	0	1019252.662	1984767.834
2.00E+11	금	2.00E+11	210	강원	강원	춘천	후평		산15-5	입산자실화	0.5	80	1020859.8	1987850.67
2.00E+11	목	2.00E+11	255	강원	강원	춘천	사북	오탄	산57-1	용접중실화	8	1700	1008502.879	2006071.885
2.00E+11	수	2.00E+11	240	강원	강원	춘천	신북	지내	산3-1	성묘객실화	2.5	150	1020216.129	1997065.179
2.00E+11	토	2.00E+11	225	강원	강원	춘천	동산	군자	산324	입산자실화추정	5	0	1020145.974	1975412.586
2.00E+11	토	2.00E+11	130	강원	강원	춘천	신동	증	산107	입산자실화추정	0.5	0	1020216.088	1979293.632
2.00E+11	월	2.00E+11	350	강원	강원	춘천	북산	대곡	산55-1	입산자실화추정	2	50	1042289.699	2001302.641
2.00E+11	목	2.00E+11	205	강원	강원	춘천	사북	지암	산19-3	입산자실화추정	0.3	5	1003923.091	1997304.751
2.00E+11	월	2.00E+11	335	강원	강원	춘천	동	만천	산42-1	입산자실화추정	10	785	1026118.489	1985721.869
2.00E+11	일	2.00E+11	100	강원	강원	춘천	북산	내평	산7	입산자실화	0.1	270	1033799.463	1996721.401
2.00E+11	금	2.00E+11	200	강원	강원	춘천	북산	대곡	산144-27	담뱃불실화추정	0.5	3	1043326.321	2000108.196
2.00E+11	금	2.00E+11	50	강원	강원	춘천	신동	팔미	산74-1	기차승객담뱃불실화	0.2	150	1018011.56	1979882.914
2.00E+11	수	2.00E+11	40	강원	강원	춘천	북산	물로	산99	성묘객실화	0.1	5	1038410.241	1989603.828
2.00E+11	월	2.00E+11	49	강원	강원	춘천	남	가정	산28	농산폐기물소각	0.2	10	1006999.7	1971388.286
2.00E+11	수	2.00E+11	56	강원	강원	춘천	서	월송	산138	입산자실화추정	0.1	269	1014652.649	1992091.763
2.00E+11	금	2.00E+11	140	강원	강원	춘천	북산	오항	산2-1	주택화재	0.5	621	1035998.929	1997866.84
2.00E+11	금	2.00E+11	125	강원	강원	춘천	동산	조양	산178-2	입산자실화추정	0.1	8	1022560.176	1971752.071
2.00E+11	월	2.00E+11	353	강원	강원	춘천	서	덕두원	산86	무속행위추정	0.2	0	1013781.319	1983816.702
2.00E+11	월	2.00E+11	20	강원	강원	춘천	동	장학	산37-1	입산자실화추정	0.03	0	1023002.121	1989004.357
2.00E+11	수	2.00E+11	205	강원	강원	춘천	북산	추곡	산69	입산자실화추정	0.3	0	1033909.314	2001635.42
2.00E+11	토	2.00E+11	436	강원	강원	춘천	신		산10-2	입산자실화추정	2	320	1020336.514	1993395.571
2.00E+11	일	2.00E+11	500	북부	강원	춘천	북산	조교	산1-37	입산자실화추정	1.5	75	1040541.084	1989817.5
2.00E+11	화	2.00E+11	25	강원	강원	춘천	동	지내	산72	방화추정	0.1	10	1023715.084	1991248.385
2.00E+11	목	2.00E+11	315	강원	강원	춘천	서	안보	산84-1	입산자실화추정	0.2	0	1005015.034	1983426.35
2.00E+11	수	2.00E+11	29	강원	강원	춘천	서	안보	산68-1	담배불실화추정	0.05	13	1005858.603	1982650.482
2.00E+11	목	2.00E+11	53	북부	강원	춘천	동내	사암	산92	입산자실화추정	0.1	0	1024729.868	1979906.078
2.00E+11	금	2.00E+11	36	강원	강원	춘천	서	당림	산117-3	쓰레기소각	0.05	5	1008762.748	1984387.423
2.00E+11	화	2.00E+11	40	강원	강원	춘천	남	관천	산13	쓰레기소각	0.1	0	1003082.227	1971631.877
2.00E+11	수	2.00E+11	15	강원	강원	춘천	동산	원창	산124-2	담뱃불실화추정	0.01	0	1023866.271	1977221.305
2.00E+11	일	2.00E+11	35	강원	강원	춘천	사북	고성	산57	쓰레기소각	0.01	25	1020422.974	1999190.459
2.00E+11	일	2.00E+11	35	강원	강원	춘천	동	월곡	산19-1	입산자실화추정	0.6	1478	1026652.771	1992412.112
2.00E+11	월	2.00E+11	35	강원	강원	춘천	동	지내	산64-9	입산자실화추정	0.1	246	1023843.167	1990657.227
2.00E+11	수	2.00E+11	35	강원	강원	춘천	동산	조양	산246	입산자실화추정	0.03	0	1024889.983	1972548.06
2.00E+11	목	2.00E+11	153	강원	강원	춘천	북산	청평	산152-1	무속행위추정	0.7	35	1028742.003	1994399.127
2.00E+11	토	2.00E+11	55	강원	강원	춘천	신동	의암	산53	입산자실화추정	0.3	739	1016558.043	1981728.895
2.00E+11	일	2.00E+11	22	강원	강원	춘천	서	안보	산25-1	입산자실화추정	0.01	0	1007134.645	1982513.676
2.00E+11	금	2.00E+11	28	강원	강원	춘천	남산	백양	산33	낙뢰	0.1	0	1005851.212	1980981.647
2.00E+11	일	2.00E+11	100	강원	강원	춘천	사북	오탄	산39	농산폐기물소각	0.03	0	1010046.691	2006142.056
2.00E+11	월	2.00E+11	22	강원	강원	춘천	송암		산20-1	군사훈련	0.04	0	1018117.295	1983489.745
2.00E+11	수	2.00E+11	45	강원	강원	춘천	동산	봉명	산98-1	밭두렁소각	0.1	500	1026472.149	1974490.106
2.00E+11	토	2.00E+11	140	강원	강원	춘천	동산	군자	산187-1	산채채취자실화추정	1	2956	1021460.999	1972932.069
2.00E+11	화	2.00E+11	110	강원	강원	춘천	북산	조교	산45-1	농산폐기물소각	0.5	0	1038155.107	1995526.916
2.00E+11	수	2.00E+11	135	강원	강원	춘천	남	추곡	산144	쓰레기소각	1	246	1013627.116	1972949.905
2.00E+11	수	2.00E+11	30	강원	강원	춘천	동산	군자	산90	입산자실화추정	0.03	0	1020077.304	1974809.368
2.00E+11	금	2.00E+11	215	강원	강원	춘천	서	서상	산147-1	입산자실화추정	0.6	0	1011649.832	1993224.201
