OCCRR_DTM	OCUR_DYWK	EXTING_DTM	RQRMN_TM	ARA_NM	CTPRV_NM	SGNG_NM	EMNDN_NM	OCCCRR_RI	ARA_LTNMB	CUSE_NM	DMG_AREA	DMG_MONEY	TM_X	TM_Y
1.99404E+11	수	1.99404E+11	139	인천	인천	중	을왕		산105-2	논밭두렁소각	1.5	800	900103.8924	1941810.097
1.99503E+11	일	1.99503E+11	48	인천	인천	중	운서		산331-1	어린이불장난추정	0.1	30	909481.7946	1943874.958
1.99505E+11	화	1.99505E+11	55	인천	인천	중	중산		산284	담배불실화추정	0.2	70	917372.5283	1942969.934
1.99603E+11	화	1.99603E+11	35	인천	인천	중	을왕		산16-1	논밭두렁소각	10.7	20	902479.3747	1940149.212
1.99604E+11	목	1.99604E+11	110	인천	인천	중	운서		산246-2	기타	2.4	0	911086.3116	1941602.173
1.99604E+11	목	1.99604E+11	50	인천	인천	중	운서		산14-1	논밭두렁소각	2.5	210	912671.6318	1943751.945
1.99702E+11	일	1.99702E+11	110	인천	인천	중	운서		산66	쓰레기소각	0.17	0	911896.8559	1944167.563
1.99702E+11	수	1.99702E+11	200	인천	인천	중	운북		산280-6	밭두렁소각	2.7	825	912077.4785	1945918.577
1.99702E+11	금	1.99702E+11	1215	인천	인천	중	을왕		산53	모닥불실화	13	900	901274.1289	1939288.176
1.99704E+11	화	1.99704E+11	125	인천	인천	중	운북		산122-1	논두렁소각	1	100	912372.4806	1947041.873
2.00304E+11	목	2.00304E+11	120	인천	인천	중	운남		산6-2	담뱃불실화	0.96	167	915152.256	1945096.644
2.00109E+11	금	2.00109E+11	54	인천	인천	중	덕교		산73-2	가스폭발	0.1	739	904838.8577	1936507.58
2.00104E+11	토	2.00104E+11	100	인천	인천	중	중산		산129-7	담뱃불실화추정	0.1	395	917343.821	1945084.748
1.99904E+11	일	1.99904E+11	130	인천	인천	중	운북		산75-9	정신질환자실화	2.1	0	912552.7761	1947838.353
2.00004E+11	월	2.00004E+11	120	인천	인천	중	운남		산101	입산자실화추정	0.3	730	914134.4686	1944722.168
1.99904E+11	금	1.99904E+11	145	인천	인천	중	무의		산349-1	입산자실화추정	2.5	440	904183.3958	1930947.63
1.99904E+11	일	1.99904E+11	325	인천	인천	중	무의		산339	담뱃불실화추정	0.5	160	904530.5829	1931344.683
2.00004E+11	수	2.00004E+11	125	인천	인천	중	을왕		산27-1	담뱃불실화추정	0.2	487	902685.1777	1939716.67
1.99503E+11	일	1.99503E+11	27	인천	인천	남	학익		산68-2	입산자실화추정	0.06	50	926615.2221	1937704.824
2.00112E+11	토	2.00112E+11	40	인천	인천	남	학익		산95-3	입산자실화추정	0.1	0	925746.2695	1937800.537
1.99901E+11	금	1.99901E+11	35	인천	인천	남	학익		산2-2	입산자실화추정	0.2	80	925658.6311	1939037.397
2.00002E+11	화	2.00002E+11	20	인천	인천	연수	연수		산59-1	분신자살추정	0.02	32	927210.9657	1937237.769
1.99202E+11	토	1.99202E+11	20	인천	인천	연수	연수		산64-2	논밭두렁소각	0.1	10	927399.4562	1936852.34
1.99401E+11	목	1.99401E+11	110	인천	인천	연수	옥련		산85-1	어린이불장난	0.1	200	925382.6429	1935967.645
1.99502E+11	목	1.99502E+11	140	인천	인천	연수	연수		산59-2	어린이불장난추정	0.67	200	927246.0559	1937117.68
2.00202E+11	금	2.00202E+11	11	인천	인천	연수	연수		산58	담배불실화추정	0.01	0	927044.0126	1936927.505
2.00112E+11	월	2.00112E+11	18	인천	인천	연수	옥련		산79-1	입산자실화추정	0.07	0	924002.9917	1935134.217
2.00304E+11	화	2.00304E+11	19	인천	인천	연수	동춘		산14-49	담뱃불실화	0.01	0	925709.1435	1935335.354
2.00304E+11	금	2.00304E+11	20	인천	인천	연수	선학		237-1	농산부산물소각	0.03	92	929266.0149	1936975.689
2.00204E+11	수	2.00204E+11	104	인천	인천	연수	옥련		산85-1	입산자실화추정	0.16	458	925382.6429	1935967.645
2.00202E+11	목	2.00202E+11	4	인천	인천	연수	청학		산57	입산자실화추정	0.02	0	925937.9397	1935823.723
2.00204E+11	금	2.00204E+11	10	인천	인천	연수	옥련		산85-1	입산자실화추정	0.02	0	925382.6429	1935967.645
2.00004E+11	목	2.00004E+11	120	인천	인천	연수	연수		산52	성묘객실화추정	3	7410	927010.5359	1936684.221
2.00012E+11	화	2.00012E+11	140	인천	인천	연수	연수		산92	입산자실화추정	1.5	1232	928086.8181	1936747.315
2.01306E+11	월	2.01306E+11	641	인천	인천	남동구	만수동		산2-1	원인미상			932001.781	1941160.138
2.01306E+11	금	2.01306E+11	59	인천	인천	남동구	간석동		37-658	원인미상			930808.0845	1941177.677
1.99103E+11	화	1.99103E+11	50	인천	인천	남동	만수		산6-2	입산자실화	0.8	125	931658.079	1941073.811
1.99504E+11	일	1.99504E+11	15	인천	인천	남동	만수		산117-2	담배불실화추정	0.05	0	932885.6965	1937632.887
1.99504E+11	토	1.99504E+11	50	인천	인천	남동	만수		산1-2	입산자실화추정	0.8	100	932344.7573	1941289.789
1.99602E+11	금	1.99602E+11	300	인천	인천	남동	만수		산6-2	입산자실화	0.8	100	931658.079	1941073.811
1.99602E+11	목	1.99602E+11	110	인천	인천	남동	만수		산32-3	입산자실화	0.67	0	932993.0982	1941008.518
1.99602E+11	금	1.99602E+11	100	북부	인천	남동	만수		산1-2	입산자실화	0.5	102	932344.7573	1941289.789
1.99604E+11	화	1.99604E+11	135	인천	인천	남동	장수		산52-2	기타	2.8	60	935733.3031	1940614.706
1.99702E+11	목	1.99702E+11	110	인천	인천	남동	간석		산32-11	어린이불장난	0.5	150	930710.7493	1940933.663
1.99702E+11	금	1.99702E+11	40	인천	인천	남동	만수		산71-5	입산자실화추정	0.23	700	932873.5546	1939809.62
