OCCRR_DTM	OCUR_DYWK	EXTING_DTM	RQRMN_TM	ARA_NM	CTPRV_NM	SGNG_NM	EMNDN_NM	OCCCRR_RI	ARA_LTNMB	CUSE_NM	DMG_AREA	DMG_MONEY	TM_X	TM_Y
1.99503E+11	일	1.99503E+11	155	울산	울산	중	다운		산23	건물화재	1	100	1160240.321	1733417.176
1.99507E+11	월	1.99507E+11	40	울산	울산	중	복산		산2	논두렁소각	0.03	0	1165760.867	1731818.893
2.00103E+11	화	2.00103E+11	18	울산	울산	중	약사		산53	담뱃불실화추정	0.05	135	1166074.868	1732749.354
2.00103E+11	토	2.00103E+11	37	울산	울산	중	다운		산138-1	담뱃불실화추정	0.2	592	1160873.15	1730809.389
2.00104E+11	일	2.00104E+11	25	울산	울산	중	약사		산62	담뱃불실화추정	0.03	89	1165868.207	1732470.04
2.00211E+11	금	2.00211E+11	42	울산	울산	중	성안		산264-3	입산자실화추정	0.6	1800	1163134.77	1733957.446
2.00104E+11	금	2.00104E+11	41	울산	울산	중	다운		산128-9	담뱃불실화추정	0.1	269	1160551.831	1731443.472
2.00303E+11	목	2.00303E+11	25	울산	울산	중	다운		산179-4	입산자실화추정	0.02	0	1159897.256	1731733.277
2.00202E+11	수	2.00202E+11	45	울산	울산	중	성안		산135	입산자실화추정	0.3	809	1164838.777	1731812.239
2.00104E+11	일	2.00104E+11	20	울산	울산	중	성안		산139	입산자실화추정	0.07	178	1164751.794	1731995.447
2.00004E+11	월	2.00004E+11	255	울산	울산	중	유곡		산18	입산자실화추정	6	14783	1163070.59	1732255.497
1.99912E+11	목	1.99912E+11	120	울산	울산	중	유곡		산83	입산자실화추정	0.4	1038	1162456.488	1731768.645
2.00001E+11	월	2.00001E+11	110	울산	울산	중	다운		산179-1	입산자실화추정	0.5	1232	1159872.602	1731827.246
1.99207E+11	수	1.99207E+11	130	울산	울산	남	선암		산100-1	입산자실화	2	200	1165637.166	1726168.936
1.99402E+11	수	1.99402E+11	10	울산	울산	남	야음		산56	어린이불장	0.2	3	1167069.714	1726844.191
1.99504E+11	토	1.99504E+11	150	울산	울산	남	고사		산135-1	입산자실화추정	10	39858	1167915.206	1723455.298
1.99604E+11	일	1.99604E+11	110	울산	울산	남	선암		산67-3	입산자실화	0.08	0	1167088.475	1724832.443
1.99701E+11	토	1.99701E+11	230	울산	울산	남	용연		산78-1	전기누전	80	57430	1168955.843	1723312.079
1.99703E+11	월	1.99703E+11	145	울산	울산	남	상개		산22-1	쓰레기소각	3	3000	1165587.521	1724905.211
1.99803E+11	월	1.99803E+11	35	울산	울산	남	신정		산86-14	입산자실화	0.2	50	1163586.997	1728942.702
1.99801E+11	일	1.99801E+11	215	울산	울산	남	용연		산96	입산자실화추정	25	60000	1168076.535	1723112.706
2.00304E+11	월	2.00304E+11	45	울산	울산	남	선암		산169-2	입산자실화추정	0.5	1391	1164972.075	1725537.042
2.00104E+11	월	2.00104E+11	20	울산	울산	남	두왕		산146-7	입산자실화추정	0.05	310	1163341.195	1723971.87
2.00104E+11	금	2.00104E+11	55	울산	울산	남	두왕		산102	입산자실화추정	0.5	3100	1162288.973	1725478.57
2.00104E+11	수	2.00104E+11	20	울산	울산	남	옥		산122	입산자실화추정	0.01	0	1160718.463	1727901.635
2.00104E+11	금	2.00104E+11	30	울산	울산	남	선암		산184	입산자실화추정	0.02	124	1164650.855	1725531.669
2.00002E+11	월	2.00002E+11	200	울산	울산	남	고사		산11-9	입산자실화추정	8	4927	1169183.995	1723683.493
2.01302E+11	금	2.01302E+11	40	울산	울산	동구	서부동		산257-59	어린이불장난			1175018.771	1727828.992
1.99103E+11	일	1.99104E+11	340	울산	울산	동	화정		산80	입산자실화	8.4	1400	1173720.635	1724892.463
1.99105E+11	일	1.99105E+11	230	울산	울산	동	전하		산170	입산자실화	2	250	1173333.359	1726465.59
1.99304E+11	화	1.99304E+11	25	울산	울산	동	전하		산173	입산자실화	0.2	20	1173203.461	1726424.305
1.99412E+11	토	1.99412E+11	117	울산	울산	동	동부		산1	방화추정	1.5	70	1175690.086	1731839.606
1.99501E+11	일	1.99501E+11	240	울산	울산	동	미포		산27	방화추정	3	150	1175907.17	1728825.302
1.99501E+11	일	1.99501E+11	20	울산	울산	동	주전		산141	입산자실화추정	0.6	50	1176781.842	1730929.279
1.99512E+11	일	1.99512E+11	140	울산	울산	동	동부		산121-1	입산자실화추정	1.9	100	1174269.356	1729492.485
1.99803E+11	일	1.99803E+11	300	울산	울산	동	주전		산193	입산자실화	2.5	1200	1176492.933	1729318.795
1.9971E+11	월	1.9971E+11	35	울산	울산	동	서부		산137-1	등산객담뱃불실화	0.1	20	1174251.758	1727728.609
2.00312E+11	일	2.00312E+11	209	울산	울산	동	미포		산20	입산자실화	1	761	1176251.776	1728902.882
2.00104E+11	목	2.00104E+11	140	울산	울산	동	서부		산32	입산자실화추정	2	4927	1173779.314	1729249.463
2.00001E+11	월	2.00001E+11	45	울산	울산	동	동부		산121-1	어린이불장난	0.5	1232	1174269.356	1729492.485
1.99901E+11	목	1.99901E+11	155	울산	울산	동	동부		산148	방화추정	0.7	500	1174843.646	1729668.077
1.99901E+11	월	1.99901E+11	355	울산	울산	동	동부		산164-2	방화추정	5.5	5000	1175132.384	1729648.598
2.00812E+11	일	2.00812E+11	55	울산	울산	동	미포		산122	방화추정	0.06	423	1175667.583	1728482.404
2.01303E+11	토	2.01303E+11	352	울산	울산	북구	시례동		산116	성묘객실화			1166138.772	1735603.389
2.01304E+11	금	2.01304E+11	34	울산	울산	북구	달천동		산85-3	논두렁소각			1163163.449	1737821.527
2.01305E+11	월	2.01305E+11	100	울산	울산	북구	대안동		산195	입산자실화			1170675.859	1742570.113
1.99101E+11	일	1.99101E+11	1930	울산	울산	북	염포		산79-1	공사장 모닥불	14	1260	1171626.223	1728547.472
1.99104E+11	금	1.99104E+11	115	울산	울산	북	가대		산190	성묘객실화	2	240	1162550.47	1734897.046
1.99205E+11	수	1.99205E+11	215	울산	울산	북	중산		산127	농산부산물소각	2	200	1167419.795	1741807.044
1.99303E+11	목	1.99303E+11	120	울산	울산	북	중산		산94	입산자실화	1.2	50	1167778.741	1741951.368
1.99412E+11	목	1.99412E+11	120	울산	울산	북	중산		산132	입산자실화	0.3	0	1167497.912	1741932.499
1.9941E+11	수	1.9941E+11	145	울산	울산	북	중산		산118	경작지소각	0.5	150	1166961.327	1740770.451
1.99502E+11	수	1.99502E+11	110	울산	울산	북	양정		산15-1	쓰레기소각	0.2	10	1172356.664	1730989.88
1.99503E+11	화	1.99503E+11	105	울산	울산	북	화봉		산60-1	입산자실화추정	0.6	100	1169970.186	1734308.747
1.99803E+11	월	1.99803E+11	340	울산	울산	북	대안		산52-1	성묘객실화	6	3000	1173777.53	1742032.272
2.00202E+11	월	2.00202E+11	1400	울산	울산	북	연암		산97-1	방화추정	7	19000	1169968.318	1733067.72
2.00202E+11	월	2.00202E+11	1230	울산	울산	북	중산		산150	방화추정	4	10960	1168540.538	1741732.728
2.00202E+11	월	2.00202E+11	725	울산	울산	북	염포		산122	입산자실화추정	5	10868	1171997.556	1727695.887
2.0031E+11	수	2.0031E+11	35	울산	울산	북	매곡		산5	입산자실화	0.13	350	1169000.627	1742112.74
2.0031E+11	목	2.0031E+11	35	울산	울산	북	효문		산38-1	입산자실화	0.02	20	1170770.81	1732224.918
2.00104E+11	금	2.00104E+11	106	울산	울산	북	달천		산201	입산자실화추정	0.3	809	1162979.231	1739944.241
2.00211E+11	수	2.00211E+11	105	울산	울산	북	중산		산107-1	입산자실화추정	0.4	2968	1167045.024	1741768.639
2.00104E+11	목	2.00104E+11	215	울산	울산	북	중산		산3-1	입산자실화추정	0.5	1348	1168899.934	1742691.321
2.00301E+11	월	2.00301E+11	20	울산	울산	북	어물		산127-2	가정집화재로발생	0.03	840	1175379.163	1732913.448
2.00202E+11	토	2.00202E+11	135	울산	울산	북	매곡		산16-1	입산자실화추정	0.3	900	1169866.771	1741698.444
2.00103E+11	수	2.00103E+11	259	울산	울산	북	시례		산150	입산자실화추정	10	26972	1165704.47	1735862
2.00103E+11	목	2.00103E+11	525	울산	울산	북	시례		산121-1	입산자실화추정	20	53944	1166220.574	1735117.671
2.00006E+11	목	2.00006E+11	130	울산	울산	북	가대		산62	입산자실화추정	0.1	246	1163075.941	1736620.445
2.00011E+11	수	2.00011E+11	35	울산	울산	북	연암		산40-2	입산자실화추정	0.2	519	1170078.278	1733791.863
1.99912E+11	일	1.99912E+11	115	울산	울산	북	양정		산산104-6	입산자실화추정	0.03	100	1171114.481	1729340.34
2.00003E+11	월	2.00003E+11	1425	울산	울산	북	무룡		산136-12	입산자실화	18	46712	1173275.423	1736409.927
1.99902E+11	금	1.99902E+11	50	울산	울산	북	연암		산99	어린이불장난	0.8	2000	1169919.283	1733428.797
2.01302E+11	일	2.01302E+11	110	울산	울산	울주군	웅촌면	고연리	산140	작업장실화			1150444.316	1718570.521
2.01303E+11	금	2.01303E+11	50	울산	울산	울주군	상북면	향산리	산25	조사중			1145063.206	1732627.844
2.01303E+11	토	2.01303E+11	50	울산	울산	울주군	두동면	은편리	산52-4	쓰레기소각			1154701.248	1739140.954
2.01303E+11	토	2.01303E+11	1530	울산	울산	울주군	상북면	향산리	산304	쓰레기소각			1145052.116	1733192.833
2.01303E+11	일	2.01303E+11	50	울산	울산	울주군	범서읍	두산리	산42	원인미상			1162355.447	1739342.67
2.01302E+11	수	2.01302E+11	20	울산	울산	울주군	범서읍	구영리	산165-3				1158575.149	1732261.374
2.01302E+11	월	2.01302E+11	135	울산	울산	울주군	온산읍	학남리	713				1165639.967	1717759.205
2.01303E+11	토	2.01303E+11	550	울산	울산	울주군	청량면	삼정리	산95				1156785.235	1723148.55
2.01309E+11	월	2.01309E+11	403	울산	울산	울주군	온산면	강양리	산155				1167673.051	1712392.076
1.99103E+11	수	1.99103E+11	330	울산	울산	울주	언양	어음	산14-1	논밭두렁소각	3	400	1148892.918	1730433.754
