OCCRR_DTM,OCUR_DYWK,EXTING_DTM,RQRMN_TM,ARA_NM,CTPRV_NM,SGNG_NM,EMNDN_NM,OCCCRR_RI,ARA_LTNMB,CUSE_NM,DMG_AREA,DMG_MONEY,TM_X,TM_Y
199404061335,수,199404061514,0139,인천,인천,중,을왕,,산105-2,논밭두렁소각,1.5,800,900103.892384591,1941810.09674634
199503051112,일,199503051200,0048,인천,인천,중,운서,,산331-1,어린이불장난추정,0.1,30,909481.794565176,1943874.95772616
199505021420,화,199505021515,0055,인천,인천,중,중산,,산284,담배불실화추정,0.2,70,917372.528283798,1942969.93366012
199603051240,화,199603051315,0035,인천,인천,중,을왕,,산16-1,논밭두렁소각,10.7,20,902479.374687589,1940149.21151975
199604111150,목,199604111300,0110,인천,인천,중,운서,,산246-2,기타,2.4,0,911086.311638966,1941602.17298723
199604041710,목,199604041800,0050,인천,인천,중,운서,,산14-1,논밭두렁소각,2.5,210,912671.631780989,1943751.94513274
199702091300,일,199702091410,0110,인천,인천,중,운서,,산66,쓰레기소각,0.17,0,911896.855928593,1944167.56327747
199702191315,수,199702191515,0200,인천,인천,중,운북,,산280-6,밭두렁소각,2.7,825,912077.478488868,1945918.57709052
199702212000,금,199702220815,1215,인천,인천,중,을왕,,산53,모닥불실화,13,900,901274.128865342,1939288.17626177
199704011520,화,199704011645,0125,인천,인천,중,운북,,산122-1,논두렁소각,1,100,912372.480587964,1947041.87348846
200304171210,목,200304171330,0120,인천,인천,중,운남,,산6-2,담뱃불실화,0.96,167,915152.256028756,1945096.64438602
200109211025,금,200109211119,0054,인천,인천,중,덕교,,산73-2,가스폭발,0.1,739,904838.857738666,1936507.57977508
200104211250,토,200104211350,0100,인천,인천,중,중산,,산129-7,담뱃불실화추정,0.1,395,917343.820985526,1945084.74829915
199904182030,일,199904182200,0130,인천,인천,중,운북,,산75-9,정신질환자실화,2.1,0,912552.776063691,1947838.35309438
200004171320,월,200004171440,0120,인천,인천,중,운남,,산101,입산자실화추정,0.3,730,914134.468571088,1944722.16834439
199904231705,금,199904231850,0145,인천,인천,중,무의,,산349-1,입산자실화추정,2.5,440,904183.395813873,1930947.63006659
199904251340,일,199904251705,0325,인천,인천,중,무의,,산339,담뱃불실화추정,0.5,160,904530.582857058,1931344.6826343
200004051445,수,200004051610,0125,인천,인천,중,을왕,,산27-1,담뱃불실화추정,0.2,487,902685.177658796,1939716.67033943
199503191723,일,199503191750,0027,인천,인천,남,학익,,산68-2,입산자실화추정,0.06,50,926615.22205512,1937704.82364976
200112080320,토,200112080400,0040,인천,인천,남,학익,,산95-3,입산자실화추정,0.1,0,925746.269487097,1937800.53652148
199901221720,금,199901221755,0035,인천,인천,남,학익,,산2-2,입산자실화추정,0.2,80,925658.631102984,1939037.39652336
200002151230,화,200002151250,0020,인천,인천,연수,연수,,산59-1,분신자살추정,0.02,32,927210.965698475,1937237.76865281
199202221200,토,199202221220,0020,인천,인천,연수,연수,,산64-2,논밭두렁소각,0.1,10,927399.456194113,1936852.34005072
199401201520,목,199401201630,0110,인천,인천,연수,옥련,,산85-1,어린이불장난,0.1,200,925382.642931288,1935967.64497802
199502231400,목,199502231540,0140,인천,인천,연수,연수,,산59-2,어린이불장난추정,0.67,200,927246.05586884,1937117.68018607
200202151032,금,200202151043,0011,인천,인천,연수,연수,,산58,담배불실화추정,0.01,0,927044.012610227,1936927.5051465
200112101734,월,200112101752,0018,인천,인천,연수,옥련,,산79-1,입산자실화추정,0.07,0,924002.991669294,1935134.21674083
200304011148,화,200304011207,0019,인천,인천,연수,동춘,,산14-49,담뱃불실화,0.01,0,925709.14346498,1935335.35405882
200304041120,금,200304041140,0020,인천,인천,연수,선학,,237-1,농산부산물소각,0.03,92,929266.014890083,1936975.68918589
200204031036,수,200204031140,0104,인천,인천,연수,옥련,,산85-1,입산자실화추정,0.16,458,925382.642931288,1935967.64497802
200202071618,목,200202071622,0004,인천,인천,연수,청학,,산57,입산자실화추정,0.02,0,925937.939674883,1935823.72257929
200204051041,금,200204051051,0010,인천,인천,연수,옥련,,산85-1,입산자실화추정,0.02,0,925382.642931288,1935967.64497802
200004061520,목,200004061640,0120,인천,인천,연수,연수,,산52,성묘객실화추정,3,7410,927010.535850278,1936684.22120532
200012051220,화,200012051400,0140,인천,인천,연수,연수,,산92,입산자실화추정,1.5,1232,928086.81814969,1936747.31482053
201306102219,월,201306110500,0641,인천,인천,남동구,만수동,,산2-1,원인미상,,,932001.781041283,1941160.13792412
201306280301,금,201306280400,0059,인천,인천,남동구,간석동,,37-658,원인미상,,,930808.084540082,1941177.67730697
199103261030,화,199103261120,0050,인천,인천,남동,만수,,산6-2,입산자실화,0.8,125,931658.079031185,1941073.81116803
199504021445,일,199504021500,0015,인천,인천,남동,만수,,산117-2,담배불실화추정,0.05,0,932885.696503259,1937632.88650821
199504151630,토,199504151720,0050,인천,인천,남동,만수,,산1-2,입산자실화추정,0.8,100,932344.757258175,1941289.78889484
199602091440,금,199602091740,0300,인천,인천,남동,만수,,산6-2,입산자실화,0.8,100,931658.079031185,1941073.81116803
199602151510,목,199602151620,0110,인천,인천,남동,만수,,산32-3,입산자실화,0.67,0,932993.098198407,1941008.51753917
199602231630,금,199602231730,0100,북부,인천,남동,만수,,산1-2,입산자실화,0.5,102,932344.757258175,1941289.78889484
