OCCRR_DTM	OCUR_DYWK	EXTING_DTM	RQRMN_TM	ARA_NM	CTPRV_NM	SGNG_NM	EMNDN_NM	OCCCRR_RI	ARA_LTNMB	CUSE_NM	DMG_AREA	DMG_MONEY	TM_X	TM_Y
2.01303E+11	수	2.01303E+11	130	세종	세종	세종시	금남면	금천리	산21-1				982786.7423	1827532.871
2.01303E+11	토	2.01303E+11	425	세종	세종	세종시	전동면	청람리	산201-3				976507.9548	1850640.278
2.01304E+11	수	2.01304E+11	127	세종	세종	세종시	전의면	다방리					971861.44	1845114.33
2.01304E+11	화	2.01304E+11	230	세종	세종	세종시	부강면	노호리	산117	농산폐기물소각	0.2	990	991960.9807	1833237.612
1.99103E+11	토	1.99103E+11	100	충남	충남	연기	금남	축산	산64-2	논밭두렁 소각	1	100	983607.0012	1825277.165
1.99103E+11	일	1.99103E+11	18	충남	충남	연기	서	고복	산82-1	과수원잡초소각	0.1	25	978258.5024	1846029.872
1.99203E+11	일	1.99203E+11	20	충북	충북	청원	부용	등곡	산25	논밭두렁소각	0.1	2	990174.3457	1834853.588
1.99405E+11	월	1.99405E+11	155	충남	충남	연기	남	방축	산13-1	입산자실화	1	250	978928.1441	1835583.502
1.99503E+11	수	1.99503E+11	40	충남	충남	연기	금남	영치	산1-1	논두렁소각	0.7	70	982351.1658	1828860.377
1.99504E+11	일	1.99504E+11	140	충남	충남	공주	장기	금암	산26-6	입산자실화추정	2.5	50	975175.7769	1827509.474
1.99504E+11	금	1.99504E+11	230	충남	충남	연기	전의	달전	산25	입산자실화	2	400	972134.8297	1847751.112
1.99601E+11	목	1.99601E+11	120	충북	충북	청원	부용	등곡	산44	성묘객실화	3.8	100	990003.1147	1833917.765
1.99603E+11	수	1.99603E+11	40	충남	충남	연기	동	문주	산7	기타	0.8	240	983551.5933	1839261.006
1.99604E+11	수	1.99604E+11	100	충북	충북	청원	부용	등곡	산43	어린이불장난	0.3	250	990002.3115	1834063.227
1.99604E+11	금	1.99604E+11	30	충남	충남	연기	전동	미곡	산21-1	기타	1	10	976167.5301	1852779.271
1.99604E+11	수	1.99604E+11	345	충남	충남	연기	전동	청람	산39	입산자실화	0.2	2000	976562.0052	1850766.574
1.99604E+11	수	1.99604E+11	105	충남	충남	연기	금남	감성	산6-1	입산자실화	2.5	750	981309.6673	1826441.694
1.99704E+11	토	1.99704E+11	55	중부	충남	연기	조치원	봉산	산48	입산자실화추정	0.8	80	979702.9128	1846485.231
1.99704E+11	금	1.99704E+11	130	충남	충남	연기	서	기룡	산26	농산폐기물소각	0.8	700	976382.8682	1842618.769
1.99703E+11	금	1.99703E+11	300	충남	충남	연기	서	청라	산49	농산폐기물소각	2	400	973325.6525	1844019.486
1.9971E+11	일	1.9971E+11	220	충남	충남	연기	전동	심중	산72	입산자실화추정	0.9	500	981681.7307	1852558.507
1.99705E+11	월	1.99705E+11	155	충남	충남	연기	전동	심중	산22-1	입산자실화추정	4	1212	979814.0459	1850296.042
1.99803E+11	토	1.99803E+11	135	충북	충북	청원	부용	노호	산26	묘지주변잡초소각	2.7	5200	990487.3289	1834240.123
1.99803E+11	일	1.99803E+11	40	충남	충남	연기	서	와촌	산120	농산폐기물소각	0.3	100	975892.0167	1840044.373
1.9971E+11	월	1.9971E+11	130	충남	충남	연기	서	용암	산22-1	쓰레기소각	0.7	150	976425.5407	1845103.885
2.00204E+11	일	2.00204E+11	205	충남	충남	공주	반포	도남	산19	성묘객실화	8	2192	977047.4385	1826902.121
2.00109E+11	일	2.00109E+11	115	충북	충북	청원	부용	등곡	산36	성묘객실화추정	0.1	5	990147.7059	1834652.518
2.00109E+11	일	2.00109E+11	235	중부	충북	청원	부용	금호	산27	입산자실화추정	1	5936	988815.6928	1834275.032
2.00104E+11	화	2.00104E+11	155	충남	충남	연기	전의	관정	산95-1	산채채취자추정	0.2	540	975539.756	1856885.756
2.00204E+11	화	2.00204E+11	100	충남	충남	공주	장기	산학	산4-41	공장화재	0.3	800	975590.8058	1831098.165
2.00304E+11	토	2.00304E+11	50	충남	충남	공주	장기	도계	산2-5	쓰레기소각	0.3	840	972397.2919	1833976.23
2.00004E+11	목	2.00004E+11	230	충남	충남	연기	전의	관정	산81-1	입산자실화추정	2.7	6695	975062.2223	1857172.984
2.00004E+11	일	2.00004E+11	110	충남	충남	연기	남	수산	산134	논밭두렁소각	0.7	1735	975039.7543	1839356.449
1.99904E+11	금	1.99904E+11	130	충남	충남	연기	전동	청송	산85	입산자실화추정	0.3	375	976823.5693	1852078.025
2.00003E+11	화	2.00003E+11	125	중부	충남	연기	남	양화	산67-1	담뱃불실화추정	2	4936	982082.2299	1834385.57
1.99803E+11	화	1.99803E+11	50	중부	충남	공주	장기	금암	산23-1	생활쓰레기소각	1	110	975777.3264	1829594.922
1.99905E+11	일	1.99905E+11	220	충남	충남	공주	장기	금암	산47	입산자실화추정	0.8	36	973903.3069	1827426.986
1.99803E+11	일	1.99803E+11	345	충남	충남	연기	전동	보덕	산15-1	담뱃불실화	3	9945	977323.4165	1849718.86
2.00003E+11	토	2.00003E+11	220	충남	충남	연기	서	기룡	산88-2	농산폐기물소각	1.5	3715	974908.2451	1842091.337
2.00011E+11	목	2.00011E+11	120	중부	충남	공주	의당	용암	산98	입산자실화추정	0.3	0	973736.9642	1841400.525
2.00004E+11	수	2.00004E+11	140	충남	충남	연기	전의	신정	산2-9	성묘객실화	2	4953	973987.213	1854983.462
2.00004E+11	수	2.00004E+11	125	충남	충남	연기	전의	서정	산4-1	성묘객실화	2.5	6192	972212.5791	1853963.488
2.00004E+11	목	2.00004E+11	105	충남	충남	연기	서	와촌	산128	입산자실화추정	0.9	164	975593.3038	1840173.836
2.00702E+11	월	2.00702E+11	30	충북	충북	청원	부용	문곡	산142-1	쓰레기소각	0.02	0	989447.9342	1837447.394
2.00803E+11	수	2.00803E+11	130	충남	충남	연기	남	연기	산50-66	농산부산물소각	0.1	0	980063.8813	1836703.992
2.00803E+11	금	2.00803E+11	155	중부	충남	연기	금남	박산	산13-3	농산부산물소각	0.2	140	987351.7319	1830975.468
2.00704E+11	목	2.00704E+11	340	중부	충남	공주	장기	금암	산35	인근부락실화비화	1	0	974323.9486	1828274.524
2.00603E+11	목	2.00603E+11	103	충남	충남	연기	금남	달전	산10-1	농산부산물소각	0.1	0	986910.6771	1829753.548
2.01011E+11	화	2.01011E+11	109	충북	충북	청원	부용	문곡	산168	등산객실화	0.01	438	989142.2231	1836265.806
2.01205E+11	화	2.01205E+11	230	세종	세종	세종	남면	양화리	산59-1	굿당의 인등 낙하	1	4950	981138.513	1834686.312
2.01205E+11	수	2.01205E+11	511	세종	세종	세종	전의면	금사리	산72-7	낙뢰	0.7	0	970103.132	1846771.912
