OCCRR_DTM	OCUR_DYWK	EXTING_DTM	RQRMN_TM	ARA_NM	CTPRV_NM	SGNG_NM	EMNDN_NM	OCCCRR_RI	ARA_LTNMB	CUSE_NM	DMG_AREA	DMG_MONEY	TM_X	TM_Y
2.01E+11	목	2.01E+11	30	전북	전북	전주시	완산구	서서학동	산243	원인미상			968624.6067	1755543.906
2.01E+11	일	2.01E+11	42	전북	전북	전주시	대성동		산11-1				969848.0097	1756808.752
2.01E+11	금	2.01E+11	22	서부	전북	군산시	옥도면	신시도	산17-1	입산자실화 추정			905320.0662	1759344.697
2.01E+11	화	2.01E+11	55	전북	전북	군산시	옥구읍	선제리	산25	농산폐기물소각			926538.191	1768870.832
2.00E+11	화	2.00E+11	140	전북	전북	군산	옥구	이곡	산56	입산자실화	1.9	122	928247.8782	1769539.367
2.00E+11	일	2.00E+11	20	전북	전북	군산	서수	금암	산35	성묘객실화	0.1	0	945872.1008	1778369.108
2.00E+11	화	2.00E+11	145	전북	전북	군산	성산	고봉	산25-10	입산자실화추정	4	5900	937589.8197	1776454.361
2.00E+11	토	2.00E+11	40	전북	전북	군산	성산	성덕	산164-3	농산폐기물소각	1	1400	933496.849	1779695.193
2.00E+11	화	2.00E+11	130	전북	전북	군산	나포	나포	산154	성묘객실화	0.08	0	943551.8209	1783040.576
2.00E+11	수	2.00E+11	150	전북	전북	군산	나포	나포	554	입산자실화추정	0.5	1370	941556.8306	1783833.655
2.00E+11	목	2.00E+11	55	전북	전북	군산	나운		산58-6	입산자실화추정	0.1	270	927449.7783	1775633.876
2.00E+11	일	2.00E+11	100	전북	전북	군산	옥구	선제	산38-2	입산자실화추정	0.05	135	926335.269	1769352.74
2.00E+11	화	2.00E+11	132	전북	전북	군산	옥도	어청도	산48	입산자실화추정	0.5	1348	862761.7117	1791814.082
2.00E+11	목	2.00E+11	25	전북	전북	군산	옥도	야미도	2	입산자실화추정	0.03	0	909257.2762	1761282.29
2.00E+11	금	2.00E+11	1140	전북	전북	군산	임피	축산	산124	성묘객실화	89.8	246141	940854.0102	1778946.032
2.00E+11	일	2.00E+11	43	전북	전북	군산	옥산	옥산	산102-1	농산폐기물소각	0.06	148	930966.7951	1770658.332
2.00E+11	수	2.00E+11	250	전북	전북	군산	나포	주곡	산52	성묘객실화	1	2463	939881.4043	1780301.774
2.00E+11	토	2.00E+11	200	전북	전북	군산	조촌		산59-4	입산자실화추정	0.8	1971	932220.8382	1775642.803
2.00E+11	목	2.00E+11	35	전북	전북	군산	개정	발산	산110-8	잔재물소각	0.23	10	936995.4316	1773993.207
2.00E+11	수	2.00E+11	100	전북	전북	군산	사정		산32-1	담뱃불실화추정	0.1	246	931996.1227	1774983.846
2.00E+11	목	2.00E+11	220	서부	전북	군산	옥도	신시도	산17-1	담뱃불실화	0.1	246	905370.7144	1759356.588
2.00E+11	월	2.00E+11	302	전북	전북	군산	옥도	신시도	산5-8	쓰레기소각	1	50	907721.2431	1758160.618
