OCCRR_DTM	OCUR_DYWK	EXTING_DTM	RQRMN_TM	ARA_NM	CTPRV_NM	SGNG_NM	EMNDN_NM	OCCCRR_RI	ARA_LTNMB	CUSE_NM	DMG_AREA	DMG_MONEY	TM_X	TM_Y
2.01E+11	일	2.01E+11	115	충남	충남	천안시	수신면	발산리	산4-1				982638.2575	1857975.303
1.99E+11	일	1.99E+11	40	충남	충남	천안	광덕	광덕	산224-4	입산자실화	0.2	20	957960.8162	1853259.406
1.99E+11	금	1.99E+11	140	충남	충남	천안	목천	교촌	산16	성묘객실화추정	5	75	975627.7387	1867007.999
1.99E+11	화	1.99E+11	200	충남	충남	천안	안서		산1-1	미상	3	300	973192.5137	1872601.215
1.99E+11	목	1.99E+11	120	충남	충남	천안	광덕	원덕	산114-1	무속행위	0.7	60	966827.3884	1851810.637
1.99E+11	일	1.99E+11	150	충남	충남	천안	광덕	지장	산40-1	입산자실화	1.5	150	962485.3651	1853613.417
2.00E+11	일	2.00E+11	35	충남	충남	천안	목천	삼성	산31-1	밭두렁소각	0.3	50	970422.8762	1863336.843
2.00E+11	화	2.00E+11	20	충남	충남	천안	성남	신사	산18	담배불실화추정	0.16	50	977329.6758	1861210.346
2.00E+11	일	2.00E+11	200	충남	충남	천안	광덕	지장	산149	입산자실화	2.5	500	961818.9412	1850375.535
2.00E+11	월	2.00E+11	130	충남	충남	천안	동	광덕	산84-2	산채채취자실화	0.9	100	984517.6278	1865601.061
2.00E+11	수	2.00E+11	150	충남	충남	천안	광덕	대덕	산32	쓰레기소각	2.5	500	963438.7477	1855762.124
2.00E+11	목	2.00E+11	45	충남	충남	천안	동	장송	산77-1	기타	0.02	0	990573.6269	1864848.061
2.00E+11	금	2.00E+11	210	충남	충남	천안	광덕	원덕	산94	입산자실화	0.17	0	964356.344	1852328.602
2.00E+11	금	2.00E+11	100	충남	충남	천안	성남	신사	산81-1	논밭두렁소각	1.5	500	975886.3491	1861796.737
2.00E+11	일	2.00E+11	30	충남	충남	천안	목천	소사	산39-1	논두렁소각	0.5	0	972635.4282	1859787.047
2.00E+11	화	2.00E+11	45	충남	충남	천안	목천	소사	산21-3	입산자실화추정	1.5	250	972537.8346	1859266.168
2.00E+11	일	2.00E+11	240	충남	충남	천안	병천	관성	산12	입산자실화추정	3	700	985211.2397	1868524.982
2.00E+11	목	2.00E+11	130	충남	충남	천안	용곡		산13-20	밭두렁소각	2	1000	968026.0345	1866433.332
2.00E+11	금	2.00E+11	930	충남	충남	천안	광덕	대평	산63	성묘객실화	3	1500	969237.5912	1854113.02
2.00E+11	금	2.00E+11	750	충남	충남	천안	성남	화성	산20	밭두렁소각	1.5	4000	978629.378	1861772.984
2.00E+11	금	2.00E+11	300	충남	충남	천안	수신	발산	산40	성묘객실화	136	372776	982347.6227	1858305.637
2.00E+11	화	2.00E+11	230	충남	충남	천안	광덕	원덕	산110	정신이상자실화	0.2	0	966297.1673	1852092.704
2.00E+11	일	2.00E+11	720	충남	충남	천안	광덕	원덕	산111	입산자실화추정	5	3750	966374.2658	1851879.062
2.00E+11	목	2.00E+11	755	충남	충남	천안	북	은지	산38	쓰레기소각	2.7	7240	979595.0779	1864708.874
2.00E+11	월	2.00E+11	155	충남	충남	천안	동	덕성	산42-1	밭두렁소각	5.5	1400	987581.1857	1869029.313
2.00E+11	수	2.00E+11	130	충남	충남	천안	성남	신사	산81-1	쓰레기소각	1	2760	975886.3491	1861796.737
2.00E+11	일	2.00E+11	130	충남	충남	천안	북	대평	산28	밭두렁소각	0.9	300	981629.4431	1874267.139
2.00E+11	목	2.00E+11	45	충남	충남	천안	수신	발산	산7	쓰레기소각	0.3	768	982407.9001	1857302.48
2.00E+11	금	2.00E+11	25	충남	충남	천안	광덕	무학	산91	담뱃불실화	0.2	492	965903.8464	1852962.922
2.00E+11	수	2.00E+11	153	충남	충남	천안	유량		산13-1	쓰레기소각	0.8	1900	971757.9708	1869209.663
2.00E+11	금	2.00E+11	320	충남	충남	천안	병천	병천	산29-1	취사행위	1.5	3696	980879.8063	1865703.1
2.00E+11	토	2.00E+11	220	충남	충남	천안	동	죽계	산52-1	논두렁소각	1.1	2340	990281.9139	1867282.696
2.00E+11	월	2.00E+11	405	충남	충남	천안	병천	관성	산3-1	입산자실화추정	3.1	7638	984176.6676	1869791.985
2.00E+11	월	2.00E+11	125	충남	충남	천안	광덕	대덕	산34-1	입산자실화추정	2	4928	963244.9482	1855837.764
2.00E+11	목	2.00E+11	40	충남	충남	천안	수신	해정	산51	쓰레기소각	0.23	560	978871.4692	1857155.82
2.00E+11	수	2.00E+11	110	충남	충남	천안	신당		산30-3	산채채취자실화추정	0.3	20	970126.8227	1872907.68
2.00E+11	토	2.00E+11	50	충남	충남	천안	쌍용		산77	미상	0.9	0	966598.8094	1868399.401
2.00E+11	일	2.00E+11	48	충남	충남	천안	입장	양대	산4-1	밭두렁소각	0.5	1200	978316.0663	1878811.581
2.01E+11	수	2.01E+11	119	충남	충남	공주시	탄천면	운곡리	산19	쓰레기소각			957740.1209	1818203.633
2.01E+11	화	2.01E+11	450	충남	충남	공주시	유구읍	노동리	63	입산자실화 추정			947394.1848	1839026.357
2.01E+11	일	2.01E+11	133	충남	충남	공주시	반포면	하신리	산1	입산자실화 추정			977363.5778	1821170.175
2.01E+11	토	2.01E+11	317	충남	충남	공주시	우성면	한천리	산31				963243.8087	1835687.832
2.01E+11	토	2.01E+11	200	충남	충남	공주시	우성면	죽당리	산35 외 2				959055.7135	1824743.596
2.01E+11	목	2.01E+11	40	충남	충남	공주시	신풍면	용수리	산42-1	밭두렁소각			947855.9415	1832358.939
1.99E+11	월	1.99E+11	130	충남	충남	공주	탄천	대학	산2	성묘객실화	3	500	956461.1209	1820766.912
1.99E+11	목	1.99E+11	50	충남	충남	공주	계룡	중장	산47-1	입산자실화	0.23	50	972502.4203	1818372.259
1.99E+11	일	1.99E+11	140	충남	충남	공주	신풍	선학	산108	입산자실화	1.5	150	954214.0965	1833686.176
1.99E+11	수	1.99E+11	140	충남	충남	공주	탄천	남산	산136	논밭두렁소각	1	300	957084.4609	1811039.897
1.99E+11	월	1.99E+11	30	중부	충남	공주	의당	유계	산1	입산자실화	0.25	20	970282.9567	1838138.263
2.00E+11	화	2.00E+11	220	충남	충남	공주	계룡	기산	산81	입산자실화	2	500	966105.0881	1820814.466
2.00E+11	토	2.00E+11	100	충남	충남	공주	반포	마암	산76	입산자실화추정	0.5	86	973591.2733	1824186.598
2.00E+11	금	2.00E+11	320	충남	충남	공주	신풍	화흥	산15-1	담배불실화	3.5	340	955772.6598	1837123.724
2.00E+11	수	2.00E+11	115	충남	충남	공주	우성	안양	산14-1	농산부산물소각	3	250	956170.2141	1829382.38
2.00E+11	목	2.00E+11	135	충남	충남	공주	정안	산성	산22-30	담배불실화	0.5	100	957922.0846	1848653.608
2.00E+11	일	2.00E+11	110	충남	충남	공주	계룡	양화	산1-1	입산자실화	1.2	68	972565.6392	1816047.288
2.00E+11	금	2.00E+11	130	충남	충남	공주	반포	온천	산9-1	기타	5	300	978489.0255	1821013.478
2.00E+11	금	2.00E+11	135	충남	충남	공주	신풍	봉갑	산115	논밭두렁소각	2.5	50	945867.0154	1836016.597
2.00E+11	금	2.00E+11	100	충남	충남	공주	의당	율정	산27-1	입산자실화	1	150	968319.5689	1836093.297
